Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,8.1842573294e-06
0.050000,5.2863354410e-06,4.9856086346e-04
0.100000,1.0365754015e-05,1.0074856417e-03
0.150000,1.4559015682e-05,1.5355575293e-03
0.200000,1.8561467894e-05,2.0104866335e-03
0.250000,2.3743486659e-05,2.5366398195e-03
0.300000,2.8704410823e-05,2.9173475581e-03
0.350000,3.3259389221e-05,3.3730235330e-03
0.400000,4.0001636911e-05,3.6208380552e-03
0.450000,4.4757650969e-05,4.5070311536e-03
0.500000,5.0758188547e-05,4.8842059156e-03
0.550000,5.3516627209e-05,4.9489713822e-03
0.600000,6.0289918630e-05,5.6340523908e-03
0.650000,6.6479102046e-05,6.3031834016e-03
0.700000,6.8613507605e-05,6.7217730347e-03
0.750000,7.6297286080e-05,7.8230531197e-03
0.800000,7.9415365306e-05,7.4878046239e-03
0.850000,8.2919593472e-05,7.9697565839e-03
0.900000,9.0388646046e-05,9.0080648912e-03
0.950000,9.6806756784e-05,9.2171857664e-03
1.000000,1.0025407830e-04,1.0212350253e-02
1.050000,1.0495278111e-04,1.0719014516e-02
1.100000,1.0954218866e-04,1.1096694237e-02
1.150000,1.1545549356e-04,1.1024887494e-02
1.200000,1.2025215965e-04,1.1162820028e-02
1.250000,1.2403873191e-04,1.3065274117e-02
1.300000,1.3106130936e-04,1.3387996706e-02
1.350000,1.3459766867e-04,1.3849116449e-02
1.400000,1.3981543583e-04,1.3689406042e-02
1.450000,1.4522343708e-04,1.4090662144e-02
1.500000,1.4819265405e-04,1.5198423546e-02
1.550000,1.5437625982e-04,1.6914637754e-02
1.600000,1.5834225884e-04,1.6683054892e-02
1.650000,1.6501118073e-04,1.4769288656e-02
1.700000,1.7048381810e-04,1.7108577189e-02
1.750000,1.7653539203e-04,1.7901159690e-02
1.800000,1.7908083174e-04,1.7162749392e-02
1.850000,1.8563430974e-04,1.7505661369e-02
1.900000,1.9177620626e-04,1.8708417876e-02
1.950000,1.9522652821e-04,1.8969424875e-02
2.000000,2.0071202618e-04,1.8564961263e-02
2.050000,2.0451816866e-04,2.1978515334e-02
2.100000,2.1069656847e-04,1.9787954745e-02
2.150000,2.1567859998e-04,2.0686285786e-02
2.200000,2.1963758759e-04,2.2215963213e-02
2.250000,2.2641173915e-04,2.2408235730e-02
2.300000,2.3023371993e-04,2.4050088303e-02
2.350000,2.3467231471e-04,2.3256162419e-02
2.400000,2.3791192789e-04,2.2289040326e-02
2.450000,2.4484836118e-04,2.5119943627e-02
2.500000,2.5077317982e-04,2.4775978300e-02
