Time [s],Displacement [m],Force [N]
0.000000,8.6116846625e-07,7.2631906662e-06
0.050000,6.5462169936e-06,1.3565178275e-02
0.100000,1.1483186865e-05,1.8563443132e-02
0.150000,1.5009541599e-05,2.3561370428e-02
0.200000,2.1191087696e-05,2.6511185051e-02
0.250000,2.4084734402e-05,2.9384177272e-02
0.300000,3.0125730690e-05,3.3269323236e-02
0.350000,3.3341390659e-05,3.4929621973e-02
0.400000,4.1033892373e-05,3.7933010585e-02
0.450000,4.4690928188e-05,4.0091535230e-02
0.500000,5.0085240644e-05,4.1374234777e-02
0.550000,5.4937087092e-05,4.4800343914e-02
0.600000,5.9081971268e-05,4.7111690677e-02
0.650000,6.4774312842e-05,4.8067369195e-02
0.700000,6.9595545286e-05,4.9573007145e-02
0.750000,7.5970190544e-05,5.2612837066e-02
0.800000,8.0354241880e-05,5.1596376147e-02
0.850000,8.6044561548e-05,5.5789666184e-02
0.900000,9.0618225422e-05,5.6515849054e-02
0.950000,9.6098056837e-05,5.7447353634e-02
1.000000,9.9913494039e-05,5.8024761665e-02
1.050000,1.0574093820e-04,6.0238032249e-02
1.100000,1.1122311415e-04,6.3874885312e-02
1.150000,1.1487947735e-04,6.1743236396e-02
1.200000,1.2029299264e-04,6.4709108826e-02
1.250000,1.2561001292e-04,6.2520133761e-02
1.300000,1.3002348494e-04,6.9420581505e-02
1.350000,1.3376514087e-04,6.7308548349e-02
1.400000,1.3901974576e-04,7.1984414666e-02
1.450000,1.4572791962e-04,7.1924515714e-02
1.500000,1.4843160467e-04,7.4350416238e-02
1.550000,1.5506445789e-04,7.5248496848e-02
1.600000,1.6078469243e-04,7.5013136047e-02
1.650000,1.6488863312e-04,7.8113703096e-02
1.700000,1.6980289033e-04,7.6114437227e-02
1.750000,1.7406813684e-04,7.7298693904e-02
1.800000,1.8065986811e-04,7.8247576623e-02
1.850000,1.8620479459e-04,7.8556031241e-02
1.900000,1.9006351316e-04,8.4324613618e-02
1.950000,1.9660714341e-04,8.0707946147e-02
2.000000,1.9865993044e-04,8.2112462769e-02
2.050000,2.0577948687e-04,8.6155451112e-02
2.100000,2.0724656094e-04,8.7192462188e-02
2.150000,2.1557016282e-04,8.7101662073e-02
2.200000,2.1992457925e-04,8.8344578336e-02
2.250000,2.2524376905e-04,8.9359847298e-02
2.300000,2.2727051816e-04,9.2272487804e-02
2.350000,2.3559737434e-04,9.1785652161e-02
2.400000,2.3985249490e-04,9.5926301422e-02
