Time [s],Displacement [m],Force [N]
0.000000,4.3517503018e-07,3.0306996781e-06
0.050000,4.9159573283e-06,5.5537756835e-04
0.100000,1.0349998334e-05,1.0311051793e-03
0.150000,1.3256575051e-05,1.6964183272e-03
0.200000,1.9738321047e-05,2.4035595550e-03
0.250000,2.6282580463e-05,3.0796925947e-03
0.300000,3.0205938082e-05,3.8599528506e-03
0.350000,3.5102280980e-05,4.7025176605e-03
0.400000,3.8542129661e-05,5.3603668184e-03
0.450000,4.5342495845e-05,6.6092049886e-03
0.500000,4.8459647456e-05,7.3365280606e-03
0.550000,5.4815134403e-05,8.2739483366e-03
0.600000,6.0532918552e-05,9.7003969052e-03
0.650000,6.5569413580e-05,1.0413036034e-02
0.700000,7.0720485075e-05,1.2038300119e-02
0.750000,7.6069586488e-05,1.2861437638e-02
0.800000,7.9976724140e-05,1.3460201202e-02
0.850000,8.4031621982e-05,1.5277875890e-02
0.900000,9.0433920316e-05,1.6611167929e-02
0.950000,9.6270322052e-05,1.8262506710e-02
1.000000,9.7950349148e-05,1.9772844014e-02
1.050000,1.0381378614e-04,2.0985061243e-02
1.100000,1.0948516680e-04,2.2320779109e-02
1.150000,1.1504467884e-04,2.4636513807e-02
1.200000,1.1936981264e-04,2.6071081090e-02
1.250000,1.2512725917e-04,2.6666961758e-02
1.300000,1.3004192409e-04,2.9029180013e-02
1.350000,1.3319912376e-04,3.1632116289e-02
1.400000,1.4108007325e-04,3.4054137803e-02
1.450000,1.4461919188e-04,3.4831935343e-02
1.500000,1.5113377785e-04,3.5603791856e-02
1.550000,1.5438136987e-04,3.7630701787e-02
1.600000,1.6051453185e-04,4.0954737530e-02
1.650000,1.6475467141e-04,4.2427474959e-02
1.700000,1.7085276969e-04,4.4761264643e-02
1.750000,1.7549088571e-04,4.5545542325e-02
1.800000,1.7952435404e-04,4.8138237356e-02
1.850000,1.8519212488e-04,5.2374925208e-02
1.900000,1.9054829998e-04,5.2746637633e-02
1.950000,1.9676435778e-04,5.4660395592e-02
2.000000,2.0002040889e-04,5.7724659530e-02
2.050000,2.0317263589e-04,5.9981345542e-02
2.100000,2.0946383503e-04,6.2925257507e-02
2.150000,2.1498937869e-04,6.5962540009e-02
2.200000,2.2239369827e-04,6.6823259707e-02
2.250000,2.2471794491e-04,7.2132036997e-02
2.300000,2.3113441184e-04,7.4401570751e-02
2.350000,2.3505144079e-04,7.6303250803e-02
2.400000,2.3809166720e-04,8.3260695128e-02
2.450000,2.4560428869e-04,8.2670546818e-02
2.500000,2.4801825361e-04,8.5857812686e-02
2.550000,2.5395422895e-04,8.5903908709e-02
2.600000,2.6054802559e-04,9.1434350700e-02
2.650000,2.6526338925e-04,9.5040675421e-02
2.700000,2.7069927399e-04,9.9777558374e-02
2.750000,2.7504393449e-04,1.0588955081e-01
2.800000,2.7944347180e-04,1.0637909049e-01
2.850000,2.8628867930e-04,1.0732974902e-01
2.900000,2.8957948981e-04,1.0858916011e-01
2.950000,2.9505178145e-04,1.1338715241e-01
3.000000,3.0064127691e-04,1.1696283386e-01
3.050000,3.0610672053e-04,1.1681195305e-01
3.100000,3.0937210420e-04,1.2249098275e-01
3.150000,3.1556590656e-04,1.3157921246e-01
3.200000,3.1973437231e-04,1.3043901679e-01
3.250000,3.2543420712e-04,1.3332807682e-01
3.300000,3.2971983935e-04,1.4019828164e-01
3.350000,3.3709548505e-04,1.4182207559e-01
3.400000,3.3864323632e-04,1.4798685961e-01
3.450000,3.4615665134e-04,1.5008479318e-01
3.500000,3.5127675091e-04,1.5433261942e-01
3.550000,3.5631248325e-04,1.5798074606e-01
3.600000,3.5888817745e-04,1.5991184683e-01
3.650000,3.6435517910e-04,1.6921772065e-01
3.700000,3.6981504133e-04,1.7767059524e-01
3.750000,3.7524713184e-04,1.7323471967e-01
3.800000,3.8040530702e-04,1.7558785866e-01
3.850000,3.8715819874e-04,1.8201067446e-01
3.900000,3.9071005662e-04,1.8173945359e-01
3.950000,3.9614338223e-04,1.8810614557e-01
4.000000,3.9898820491e-04,1.8982760845e-01
4.050000,4.0442160054e-04,2.0444334901e-01
4.100000,4.0949016919e-04,2.0603533984e-01
4.150000,4.1484555183e-04,2.1456169275e-01
4.200000,4.2120734915e-04,2.1039595342e-01
4.250000,4.2659026091e-04,2.2151892621e-01
4.300000,4.2970333783e-04,2.2365844625e-01
4.350000,4.3395519273e-04,2.2539553591e-01
4.400000,4.4007211016e-04,2.3099708961e-01
4.450000,4.4426233587e-04,2.3306011305e-01
4.500000,4.5069727185e-04,2.4215102421e-01
4.550000,4.5573129080e-04,2.5089297684e-01
4.600000,4.5957790597e-04,2.5104419242e-01
4.650000,4.6568639623e-04,2.5389940484e-01
4.700000,4.6996274259e-04,2.6839845836e-01
4.750000,4.7376951010e-04,2.6493129861e-01
4.800000,4.7939740950e-04,2.7457498625e-01
4.850000,4.8449650079e-04,2.6953350095e-01
4.900000,4.9013111759e-04,2.7200144497e-01
4.950000,4.9543511273e-04,2.7384491038e-01
5.000000,4.9914259033e-04,2.9776433721e-01
5.050000,5.0678630925e-04,2.9911582526e-01
5.100000,5.0901804288e-04,3.1152335747e-01
5.150000,5.1551969308e-04,3.1258148968e-01
5.200000,5.1877864856e-04,3.1745387225e-01
5.250000,5.2566689851e-04,3.2905079430e-01
5.300000,5.3034561809e-04,3.3881564606e-01
5.350000,5.3454037947e-04,3.2862715103e-01
5.400000,5.4029393155e-04,3.5021207269e-01
5.450000,5.4562560432e-04,3.2540623252e-01
5.500000,5.5147867862e-04,3.5555605135e-01
5.550000,5.5431150517e-04,3.6015289970e-01
5.600000,5.6058309650e-04,3.6892956815e-01
5.650000,5.6526310494e-04,3.5812848840e-01
5.700000,5.6881467999e-04,3.6782376908e-01
5.750000,5.7473842937e-04,3.8402000572e-01
5.800000,5.8016749945e-04,3.9133000391e-01
5.850000,5.8318296241e-04,3.8614674676e-01
5.900000,5.8994408786e-04,3.8717265188e-01
5.950000,5.9662014290e-04,3.9942241694e-01
6.000000,5.9973879968e-04,4.1648132289e-01
6.050000,6.0473189240e-04,4.1013580381e-01
6.100000,6.0840403030e-04,4.2260286995e-01
6.150000,6.1610799043e-04,4.3201385684e-01
6.200000,6.2130560476e-04,4.3786173752e-01
6.250000,6.2675519693e-04,4.4241830909e-01
6.300000,6.2948811220e-04,4.4469308329e-01
6.350000,6.3348785611e-04,4.5735103269e-01
6.400000,6.3943554398e-04,4.7849599327e-01
6.450000,6.4390061556e-04,4.7771398037e-01
6.500000,6.4838263527e-04,4.8689468476e-01
6.550000,6.5431663167e-04,4.7140145099e-01
6.600000,6.5987084580e-04,5.0373828477e-01
6.650000,6.6335606476e-04,5.0412410742e-01
6.700000,6.7012066679e-04,5.0049553653e-01
6.750000,6.7361682276e-04,5.1857575437e-01
6.800000,6.8096717122e-04,5.1687373314e-01
6.850000,6.8646797563e-04,5.3452888282e-01
6.900000,6.8868357532e-04,5.3034717146e-01
6.950000,6.9505523896e-04,5.3527982452e-01
7.000000,7.0061600822e-04,5.3964143336e-01
7.050000,7.0478054678e-04,5.5549547315e-01
7.100000,7.0870069863e-04,5.8177235323e-01
7.150000,7.1597387862e-04,5.7608672376e-01
7.200000,7.1954703422e-04,5.7882452921e-01
7.250000,7.2526766329e-04,5.8994094367e-01
7.300000,7.2895612241e-04,5.9658975816e-01
7.350000,7.3467304290e-04,5.8661851240e-01
7.400000,7.3943400877e-04,6.1291596588e-01
7.450000,7.4373525837e-04,6.2782485093e-01
7.500000,7.4847503644e-04,6.1943292902e-01
7.550000,7.5464650008e-04,6.3938055046e-01
7.600000,7.6006242146e-04,6.4843062215e-01
7.650000,7.6482308912e-04,6.4828594076e-01
7.700000,7.6903541019e-04,6.6437721798e-01
7.750000,7.7368543199e-04,6.6550971445e-01
7.800000,7.8019398101e-04,6.5901371953e-01
7.850000,7.8581918742e-04,6.5310006953e-01
7.900000,7.8951375046e-04,6.3999130314e-01
7.950000,7.9254401388e-04,6.9578220003e-01
8.000000,8.0004959792e-04,6.9320237345e-01
8.050000,8.0503722338e-04,7.1144830556e-01
8.100000,8.0956385710e-04,6.9031235551e-01
8.150000,8.1457127437e-04,7.2099857014e-01
8.200000,8.1800097676e-04,7.3668574414e-01
8.250000,8.2526173823e-04,7.6327162749e-01
8.300000,8.3067363746e-04,7.6448224010e-01
8.350000,8.3422203926e-04,7.6738510331e-01
8.400000,8.4053010951e-04,7.7742971987e-01
8.450000,8.4503600683e-04,7.9687301257e-01
