Time [s],Displacement [m],Force [N]
0.000000,7.2250172483e-07,5.5184626286e-06
0.050000,4.9499260172e-06,3.0368296132e-02
0.100000,8.9815818933e-06,4.4361116144e-02
0.150000,1.4358451182e-05,5.7795883461e-02
0.200000,2.0925766569e-05,6.7550180690e-02
0.250000,2.4176129271e-05,7.7935732666e-02
0.300000,3.0921127191e-05,8.9612593259e-02
0.350000,3.4799909004e-05,9.9259088474e-02
0.400000,3.9571146289e-05,1.1932084612e-01
0.450000,4.4699503662e-05,1.1987600144e-01
0.500000,4.9034575462e-05,1.4426239953e-01
0.550000,5.5791755065e-05,1.5861117976e-01
0.600000,5.9493471535e-05,1.6819203885e-01
0.650000,6.4759798704e-05,1.6917103922e-01
0.700000,7.1008928931e-05,1.7449206171e-01
0.750000,7.6462556954e-05,2.1376527862e-01
0.800000,8.1142726704e-05,2.1709889147e-01
0.850000,8.4043137097e-05,2.5080336057e-01
0.900000,9.1519321122e-05,2.4332113567e-01
0.950000,9.4940547057e-05,2.7341132698e-01
1.000000,9.9618309638e-05,2.8868836108e-01
1.050000,1.0553771280e-04,3.0480668827e-01
1.100000,1.0878067552e-04,3.0259720614e-01
1.150000,1.1517539374e-04,3.3500812252e-01
1.200000,1.2103271331e-04,3.3838939402e-01
1.250000,1.2523849148e-04,3.8759426695e-01
1.300000,1.3169433082e-04,3.7571090829e-01
1.350000,1.3514631237e-04,3.8638851463e-01
1.400000,1.3948181851e-04,4.0629137387e-01
1.450000,1.4196017097e-04,4.3332198205e-01
1.500000,1.5117968614e-04,4.4703712660e-01
1.550000,1.5429828268e-04,4.4611504154e-01
1.600000,1.6090540632e-04,4.7160574617e-01
1.650000,1.6607677309e-04,4.5162536458e-01
1.700000,1.6867526369e-04,5.1634870710e-01
1.750000,1.7463578095e-04,5.1858776954e-01
1.800000,1.7891632272e-04,5.0743839801e-01
1.850000,1.8748534672e-04,5.9586031361e-01
1.900000,1.9207344135e-04,5.9467731592e-01
1.950000,1.9504831074e-04,5.9159946579e-01
2.000000,1.9980243560e-04,6.4716574967e-01
2.050000,2.0445986892e-04,6.6753173860e-01
2.100000,2.1034980752e-04,6.6791608201e-01
2.150000,2.1472876585e-04,6.8833814577e-01
2.200000,2.1914886304e-04,7.4313258021e-01
2.250000,2.2622818932e-04,7.4210294799e-01
2.300000,2.2929768619e-04,6.8882003576e-01
2.350000,2.3334673280e-04,7.5907949873e-01
2.400000,2.4167176717e-04,7.6661538428e-01
2.450000,2.4453895046e-04,8.4573923803e-01
2.500000,2.4940073187e-04,8.0655292405e-01
2.550000,2.5530680532e-04,8.9686396301e-01
2.600000,2.6040811837e-04,8.7182161714e-01
2.650000,2.6435498762e-04,8.8708823386e-01
2.700000,2.6954283864e-04,9.2745106000e-01
2.750000,2.7518221387e-04,9.4748084240e-01
2.800000,2.7949697269e-04,9.1159058299e-01
2.850000,2.8549387587e-04,9.3308587722e-01
2.900000,2.9139107735e-04,1.0754834065e+00
2.950000,2.9598798698e-04,9.8859926979e-01
3.000000,2.9866631625e-04,9.8570503798e-01
3.050000,3.0464594534e-04,1.0048668535e+00
3.100000,3.1012666195e-04,1.0794564908e+00
3.150000,3.1282215784e-04,1.0620020487e+00
3.200000,3.2184604161e-04,1.0724709683e+00
3.250000,3.2485078168e-04,1.0967632870e+00
3.300000,3.2992187955e-04,1.2279835932e+00
3.350000,3.3660725625e-04,1.2169953997e+00
3.400000,3.4052698505e-04,1.2255843194e+00
3.450000,3.4514679218e-04,1.1979385549e+00
3.500000,3.4913510312e-04,1.3169996312e+00
3.550000,3.5428519336e-04,1.2692390586e+00
3.600000,3.6083097466e-04,1.3268541249e+00
3.650000,3.6236024111e-04,1.3180070675e+00
3.700000,3.7155913822e-04,1.3109715445e+00
3.750000,3.7476657669e-04,1.3655977890e+00
3.800000,3.8035654713e-04,1.3206738756e+00
3.850000,3.8469187856e-04,1.4102373718e+00
3.900000,3.8802360206e-04,1.4723756703e+00
3.950000,3.9371382544e-04,1.5281855667e+00
4.000000,3.9941083299e-04,1.5156101532e+00
4.050000,4.0674580863e-04,1.5605695098e+00
4.100000,4.0840260392e-04,1.5402225532e+00
4.150000,4.1575677505e-04,1.6124510525e+00
4.200000,4.2012498134e-04,1.5701768627e+00
4.250000,4.2519620243e-04,1.6666992148e+00
4.300000,4.3117784754e-04,1.5604122084e+00
4.350000,4.3447146884e-04,1.6441092603e+00
4.400000,4.3981084757e-04,1.6255904844e+00
4.450000,4.4474840069e-04,1.7410988046e+00
4.500000,4.4899653960e-04,1.7686193686e+00
4.550000,4.5430443192e-04,1.8234312141e+00
4.600000,4.5879374868e-04,1.7416558346e+00
4.650000,4.6611138252e-04,1.9187608264e+00
4.700000,4.6974042837e-04,1.7941451389e+00
4.750000,4.7337186693e-04,1.9577883553e+00
4.800000,4.7907904584e-04,1.9984963074e+00
4.850000,4.8392643993e-04,1.8372294035e+00
4.900000,4.9223812213e-04,1.8341358344e+00
4.950000,4.9618490104e-04,1.8316904717e+00
5.000000,5.0035043336e-04,2.3019026960e+00
5.050000,5.0534567483e-04,2.1494893534e+00
5.100000,5.1041435747e-04,2.1356527170e+00
5.150000,5.1333567792e-04,2.1475418646e+00
5.200000,5.1980693011e-04,2.1206396961e+00
5.250000,5.2482851681e-04,2.2542389518e+00
5.300000,5.2954870898e-04,2.1813336381e+00
5.350000,5.3823633067e-04,2.2915975039e+00
5.400000,5.4019386621e-04,2.1854739347e+00
5.450000,5.4440251495e-04,2.4902660254e+00
5.500000,5.5108104169e-04,2.4961122806e+00
5.550000,5.5641472541e-04,2.2923535351e+00
5.600000,5.6106320134e-04,2.4183829487e+00
5.650000,5.6593142724e-04,2.3562023781e+00
5.700000,5.7258567864e-04,2.3550190807e+00
5.750000,5.7568262487e-04,2.4459498058e+00
5.800000,5.7943491342e-04,2.5029418647e+00
5.850000,5.8518445387e-04,2.3869605563e+00
5.900000,5.9084004774e-04,2.4527237867e+00
5.950000,5.9564566434e-04,2.5581947420e+00
6.000000,6.0108789183e-04,2.5291108836e+00
6.050000,6.0465475319e-04,2.6005041990e+00
6.100000,6.1031085392e-04,2.6856021690e+00
6.150000,6.1564163634e-04,2.5845039252e+00
6.200000,6.2012017284e-04,2.8771733967e+00
6.250000,6.2411312864e-04,2.8002171931e+00
6.300000,6.3010024380e-04,2.8167085985e+00
6.350000,6.3464613703e-04,2.9779796584e+00
6.400000,6.3838094835e-04,2.8755141902e+00
6.450000,6.4498642777e-04,3.2830260144e+00
6.500000,6.5233952999e-04,2.9997820963e+00
6.550000,6.5465507704e-04,3.0304348981e+00
6.600000,6.5886510315e-04,3.4136058822e+00
6.650000,6.6586043151e-04,3.2028574850e+00
6.700000,6.7095809244e-04,2.8342324947e+00
6.750000,6.7528220419e-04,2.9713767208e+00
6.800000,6.7959543469e-04,2.7788586323e+00
6.850000,6.8763785905e-04,3.0952543832e+00
6.900000,6.9092110683e-04,3.3009522570e+00
6.950000,6.9359384942e-04,3.1202794176e+00
7.000000,6.9885270852e-04,2.9611059469e+00
7.050000,7.0722203394e-04,3.0919479588e+00
7.100000,7.0901064160e-04,3.2305494165e+00
7.150000,7.1589332647e-04,3.3267738159e+00
7.200000,7.2089728203e-04,3.1720624807e+00
7.250000,7.2491370692e-04,3.1763312552e+00
7.300000,7.3020432569e-04,3.4657657448e+00
7.350000,7.3638379124e-04,3.4576428813e+00
7.400000,7.4190799796e-04,3.2494745189e+00
7.450000,7.4603801729e-04,3.5819699530e+00
7.500000,7.4830956968e-04,3.3656391109e+00
7.550000,7.5474798323e-04,3.8825983010e+00
7.600000,7.6100297379e-04,3.3917045605e+00
7.650000,7.6477653661e-04,3.5097563803e+00
7.700000,7.7015240183e-04,3.7269645193e+00
7.750000,7.7425212858e-04,3.7233133422e+00
7.800000,7.7993043151e-04,3.7545058736e+00
7.850000,7.8384859015e-04,3.8261976989e+00
7.900000,7.8961312621e-04,3.5453200039e+00
7.950000,7.9380455260e-04,4.2130877919e+00
8.000000,8.0077800646e-04,3.8787055520e+00
8.050000,8.0468270669e-04,3.7996574591e+00
8.100000,8.1028859153e-04,3.5355152588e+00
8.150000,8.1383610512e-04,4.1362047993e+00
8.200000,8.2043484139e-04,4.3649333514e+00
8.250000,8.2603905748e-04,3.9321769450e+00
8.300000,8.3005653999e-04,3.8126861558e+00
8.350000,8.3649379242e-04,3.9425835240e+00
8.400000,8.4026731901e-04,4.2244494027e+00
8.450000,8.4438689059e-04,4.5134205203e+00
8.500000,8.4939267364e-04,4.4980749499e+00
8.550000,8.5430705046e-04,4.1073926628e+00
8.600000,8.6058909720e-04,4.1833769415e+00
8.650000,8.6618925251e-04,4.6698223208e+00
8.700000,8.6958104469e-04,4.2332819493e+00
8.750000,8.7588600685e-04,4.6502204740e+00
8.800000,8.8070391909e-04,4.3156630503e+00
8.850000,8.8649013171e-04,4.8275372075e+00
8.900000,8.9214488254e-04,4.6499931551e+00
8.950000,8.9542927649e-04,4.7126132234e+00
