Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,6.7695158053e-06
0.050000,4.6314810459e-06,1.9936020317e-05
0.100000,9.5175388596e-06,3.7437707219e-05
0.150000,1.4844789799e-05,1.0077610085e-04
0.200000,1.9553023246e-05,1.3372849087e-04
0.250000,2.4367108508e-05,2.6601872981e-04
0.300000,2.9829519541e-05,4.1716452357e-04
0.350000,3.2449755478e-05,4.8362588285e-04
0.400000,3.8488824158e-05,5.5736449662e-04
0.450000,4.4328582399e-05,7.4654192665e-04
0.500000,5.0659897178e-05,9.2493526645e-04
0.550000,5.4812223013e-05,1.0489437593e-03
0.600000,5.9655761774e-05,1.2438496750e-03
0.650000,6.4723549879e-05,1.4076740379e-03
0.700000,6.8404192765e-05,1.4883161229e-03
0.750000,7.4595253764e-05,1.6846509723e-03
0.800000,8.0858396493e-05,1.8541224868e-03
0.850000,8.6388873933e-05,2.2594221950e-03
0.900000,8.9568200935e-05,2.4812517011e-03
0.950000,9.3965654753e-05,2.5208030359e-03
1.000000,9.9821236698e-05,2.9208480568e-03
1.050000,1.0419170253e-04,2.8053792030e-03
1.100000,1.0946679684e-04,3.2850056956e-03
1.150000,1.1453479001e-04,3.4667131348e-03
1.200000,1.1955043532e-04,3.6506198135e-03
1.250000,1.2466762578e-04,4.2890067208e-03
1.300000,1.2919121337e-04,4.0511501090e-03
1.350000,1.3613419698e-04,4.5895176677e-03
1.400000,1.3932441829e-04,4.7145683248e-03
1.450000,1.4603959216e-04,5.2387358946e-03
1.500000,1.4884953718e-04,4.9702018206e-03
1.550000,1.5630198068e-04,5.1643328973e-03
1.600000,1.6163934216e-04,5.2315793305e-03
1.650000,1.6317500378e-04,6.1396125764e-03
1.700000,1.7006376666e-04,5.8043349958e-03
1.750000,1.7504355780e-04,6.6488825883e-03
1.800000,1.7926695734e-04,5.9929594338e-03
1.850000,1.8353144206e-04,6.7378537366e-03
1.900000,1.9115273171e-04,6.9344999279e-03
1.950000,1.9494257805e-04,7.4864010110e-03
2.000000,2.0086385379e-04,9.0948283238e-03
2.050000,2.0394336037e-04,7.7283918164e-03
2.100000,2.0963937893e-04,7.3095000948e-03
2.150000,2.1449896978e-04,8.6253760056e-03
2.200000,2.2003922739e-04,8.8605068180e-03
2.250000,2.2335856066e-04,8.1724470038e-03
2.300000,2.3032124347e-04,8.6646154647e-03
2.350000,2.3548038516e-04,9.0604584449e-03
2.400000,2.4123634355e-04,9.2587492074e-03
2.450000,2.4486618475e-04,9.9457187545e-03
2.500000,2.5013946571e-04,9.8232796835e-03
2.550000,2.5568555236e-04,1.0398715088e-02
2.600000,2.6200068539e-04,9.0314329940e-03
2.650000,2.6455580240e-04,1.0976732897e-02
2.700000,2.6955014591e-04,1.1297286081e-02
2.750000,2.7520027339e-04,1.0698993953e-02
2.800000,2.8067627351e-04,1.1026926759e-02
2.850000,2.8519132145e-04,1.1926664278e-02
2.900000,2.8936449892e-04,1.2832364698e-02
2.950000,2.9467383351e-04,1.1582596120e-02
3.000000,2.9908748538e-04,1.2167165005e-02
3.050000,3.0545755037e-04,1.2350983498e-02
3.100000,3.1125437668e-04,1.2901503783e-02
3.150000,3.1505126500e-04,1.2374047537e-02
3.200000,3.1855545151e-04,1.3542267354e-02
3.250000,3.2590583808e-04,1.3998646172e-02
3.300000,3.2951556707e-04,1.4926197862e-02
3.350000,3.3441250145e-04,1.4710176787e-02
3.400000,3.3964373180e-04,1.3322665051e-02
3.450000,3.4227157260e-04,1.5007962449e-02
3.500000,3.4949754363e-04,1.5817484857e-02
3.550000,3.5659593419e-04,1.4474244274e-02
3.600000,3.5978854854e-04,1.4373472987e-02
3.650000,3.6481626568e-04,1.4017095351e-02
3.700000,3.7021749195e-04,1.5635966523e-02
3.750000,3.7604201879e-04,1.5181591696e-02
3.800000,3.8051264556e-04,1.5890961002e-02
3.850000,3.8450043050e-04,1.5328344313e-02
3.900000,3.8891962999e-04,1.6776707705e-02
3.950000,3.9408572759e-04,1.6747094727e-02
4.000000,4.0050202039e-04,1.5953388342e-02
4.050000,4.0401043681e-04,1.7090081486e-02
4.100000,4.1090548259e-04,1.8096526631e-02
4.150000,4.1459297701e-04,1.7186804511e-02
4.200000,4.2162126189e-04,1.9571307972e-02
4.250000,4.2386954200e-04,1.7815346301e-02
4.300000,4.3009829345e-04,1.8018530134e-02
4.350000,4.3624983974e-04,2.0146056514e-02
