Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,0.0000000000e+00
0.050000,5.0000000000e-06,8.3450533730e-04
0.100000,1.0000000000e-05,2.3058776059e-03
0.150000,1.5000000000e-05,4.0926930715e-03
0.200000,2.0000000000e-05,6.0779390780e-03
0.250000,2.5000000000e-05,8.1924348038e-03
0.300000,3.0000000000e-05,1.0389928172e-02
0.350000,3.5000000000e-05,1.2637586913e-02
0.400000,4.0000000000e-05,1.4911313019e-02
0.450000,4.5000000000e-05,1.7193075600e-02
0.500000,5.0000000000e-05,1.9469243537e-02
0.550000,5.5000000000e-05,2.1729472812e-02
0.600000,6.0000000000e-05,2.3965927827e-02
0.650000,6.5000000000e-05,2.6172716657e-02
0.700000,7.0000000000e-05,2.8345470126e-02
0.750000,7.5000000000e-05,3.0481021314e-02
0.800000,8.0000000000e-05,3.2577157423e-02
0.850000,8.5000000000e-05,3.4632425079e-02
0.900000,9.0000000000e-05,3.6645975952e-02
0.950000,9.5000000000e-05,3.8617443307e-02
1.000000,1.0000000000e-04,4.0546842624e-02
1.050000,1.0500000000e-04,4.2434491189e-02
1.100000,1.1000000000e-04,4.4280942789e-02
1.150000,1.1500000000e-04,4.6086934502e-02
1.200000,1.2000000000e-04,4.7853343301e-02
1.250000,1.2500000000e-04,4.9581150601e-02
1.300000,1.3000000000e-04,5.1271413329e-02
1.350000,1.3500000000e-04,5.2925240323e-02
1.400000,1.4000000000e-04,5.4543773129e-02
1.450000,1.4500000000e-04,5.6128170428e-02
1.500000,1.5000000000e-04,5.7679595462e-02
1.550000,1.5500000000e-04,5.9199205945e-02
1.600000,1.6000000000e-04,6.0688146032e-02
1.650000,1.6500000000e-04,6.2147540003e-02
1.700000,1.7000000000e-04,6.3578487351e-02
1.750000,1.7500000000e-04,6.4982059056e-02
1.800000,1.8000000000e-04,6.6359294813e-02
1.850000,1.8500000000e-04,6.7711201074e-02
1.900000,1.9000000000e-04,6.9038749737e-02
1.950000,1.9500000000e-04,7.0342877381e-02
