Time [s],Displacement [m],Force [N]
0.000000,3.1963797523e-07,6.1904351953e-06
0.050000,6.0758060592e-06,3.6799185264e-05
0.100000,1.0217275336e-05,1.2738677358e-04
0.150000,1.2572351940e-05,2.8212389272e-04
0.200000,1.8334157538e-05,5.7414676395e-04
0.250000,2.5534688241e-05,8.1254206814e-04
0.300000,3.1883898119e-05,1.1429299952e-03
0.350000,3.4207109130e-05,1.5221946781e-03
0.400000,3.8319459164e-05,2.0305634173e-03
0.450000,4.5586391224e-05,2.6083513100e-03
0.500000,4.9716600326e-05,3.0624628021e-03
0.550000,5.5559363325e-05,3.7359971785e-03
0.600000,5.7814127471e-05,4.2720159444e-03
0.650000,6.4342453934e-05,4.9354564906e-03
0.700000,6.9476796812e-05,5.7252979016e-03
0.750000,7.5357498552e-05,6.4547662996e-03
0.800000,8.1650115665e-05,7.2513981362e-03
0.850000,8.5224580251e-05,7.7267803618e-03
0.900000,9.1619920996e-05,8.4826280908e-03
0.950000,9.5597619671e-05,9.4511142050e-03
1.000000,9.9469169574e-05,1.0656848706e-02
1.050000,1.0443180175e-04,1.1288451017e-02
1.100000,1.0991757269e-04,1.2083590396e-02
1.150000,1.1617071775e-04,1.3005349963e-02
1.200000,1.2112236942e-04,1.3611591173e-02
1.250000,1.2436301419e-04,1.5452235920e-02
1.300000,1.3034260190e-04,1.6621517330e-02
1.350000,1.3374210400e-04,1.7344198692e-02
1.400000,1.3876361204e-04,1.8612131834e-02
1.450000,1.4565481151e-04,2.0252505918e-02
1.500000,1.4941557505e-04,2.1271611559e-02
1.550000,1.5428474308e-04,2.2150150096e-02
1.600000,1.6026778603e-04,2.3271240669e-02
1.650000,1.6819275341e-04,2.5458112875e-02
1.700000,1.6960534316e-04,2.6365167052e-02
1.750000,1.7712406297e-04,2.7562983707e-02
1.800000,1.8149799571e-04,2.8345798013e-02
1.850000,1.8506183410e-04,3.0369864860e-02
1.900000,1.8967479773e-04,3.1309864828e-02
1.950000,1.9352882812e-04,3.3105302179e-02
2.000000,1.9917542602e-04,3.4846844368e-02
2.050000,2.0396709280e-04,3.5500234040e-02
2.100000,2.1066985650e-04,3.7068220574e-02
2.150000,2.1557052332e-04,3.8628442014e-02
2.200000,2.1870047335e-04,3.9850343473e-02
2.250000,2.2547727779e-04,4.3468009657e-02
2.300000,2.3046385888e-04,4.3609156044e-02
2.350000,2.3441578794e-04,4.4553457566e-02
2.400000,2.4137882612e-04,4.8344637337e-02
2.450000,2.4460811578e-04,4.7459684576e-02
2.500000,2.5200945934e-04,5.0857202224e-02
2.550000,2.5370204965e-04,5.3044813131e-02
2.600000,2.5886178124e-04,5.2335391422e-02
2.650000,2.6470264615e-04,5.5856324745e-02
2.700000,2.6955086582e-04,5.8293942483e-02
2.750000,2.7626812730e-04,6.0469381944e-02
2.800000,2.7980777488e-04,6.1785711215e-02
2.850000,2.8398769413e-04,6.2213663846e-02
2.900000,2.9019040804e-04,6.3632997800e-02
2.950000,2.9445266071e-04,6.7067951156e-02
3.000000,3.0108914416e-04,6.8113181475e-02
3.050000,3.0529087221e-04,7.3050970150e-02
3.100000,3.1020917868e-04,7.3917414185e-02
3.150000,3.1544365983e-04,7.4961779581e-02
3.200000,3.1960308125e-04,7.8887838771e-02
3.250000,3.2555405947e-04,7.6831410206e-02
3.300000,3.2934482398e-04,8.0828863199e-02
3.350000,3.3441092197e-04,8.1538063563e-02
3.400000,3.3967597002e-04,8.6187363807e-02
3.450000,3.4334731289e-04,9.0510662027e-02
3.500000,3.4989306533e-04,8.6169507532e-02
3.550000,3.5552434155e-04,9.1119516307e-02
3.600000,3.6069414716e-04,9.2218324760e-02
3.650000,3.6693706195e-04,9.3542812841e-02
3.700000,3.6878304223e-04,9.9047610539e-02
3.750000,3.7463704377e-04,1.0354070097e-01
3.800000,3.8120900608e-04,1.0299257119e-01
3.850000,3.8578865842e-04,1.0888046997e-01
3.900000,3.9013635172e-04,1.1191478278e-01
3.950000,3.9500902867e-04,1.1428239661e-01
4.000000,4.0019721874e-04,1.1246929973e-01
4.050000,4.0549508822e-04,1.1500736382e-01
4.100000,4.1066364560e-04,1.2194803952e-01
4.150000,4.1604675884e-04,1.1958290022e-01
4.200000,4.2218965262e-04,1.2670405123e-01
4.250000,4.2232599583e-04,1.2342688581e-01
4.300000,4.3104638610e-04,1.2800660374e-01
4.350000,4.3499383212e-04,1.2975583355e-01
4.400000,4.3964285241e-04,1.3151097692e-01
4.450000,4.4476553917e-04,1.2972911187e-01
4.500000,4.5003162112e-04,1.3795968538e-01
4.550000,4.5519867485e-04,1.3604599487e-01
4.600000,4.5944406063e-04,1.4420287250e-01
4.650000,4.6506326468e-04,1.4550620631e-01
4.700000,4.7021640393e-04,1.4456896914e-01
4.750000,4.7489827143e-04,1.5135847951e-01
4.800000,4.7892000576e-04,1.5691925528e-01
4.850000,4.8454007510e-04,1.5719064313e-01
4.900000,4.8926479564e-04,1.5963962050e-01
4.950000,4.9594073314e-04,1.6663852020e-01
5.000000,5.0037733270e-04,1.6578450899e-01
5.050000,5.0452684960e-04,1.7033840810e-01
5.100000,5.0856849403e-04,1.7063411456e-01
5.150000,5.1597034434e-04,1.8165692956e-01
5.200000,5.2048542871e-04,1.7009887411e-01
5.250000,5.2467818696e-04,1.7854751944e-01
5.300000,5.2812563218e-04,1.8626819654e-01
5.350000,5.3492547010e-04,1.8925132788e-01
5.400000,5.4059187280e-04,1.9343369505e-01
5.450000,5.4652170548e-04,1.9731952751e-01
5.500000,5.5005864034e-04,1.9699169794e-01
5.550000,5.5443689581e-04,2.0428629454e-01
5.600000,5.6071132605e-04,2.0105867514e-01
5.650000,5.6742269868e-04,2.0879314315e-01
5.700000,5.7048986766e-04,2.0584205008e-01
5.750000,5.7473271595e-04,2.1766697555e-01
5.800000,5.7932320838e-04,2.1201671281e-01
5.850000,5.8587051816e-04,2.1974921947e-01
5.900000,5.8971401984e-04,2.2450262019e-01
5.950000,5.9695678458e-04,2.2922841722e-01
6.000000,5.9932090313e-04,2.3162008570e-01
6.050000,6.0667818397e-04,2.3143234964e-01
6.100000,6.1155617689e-04,2.3364907002e-01
6.150000,6.1574096442e-04,2.3701410822e-01
6.200000,6.2059870348e-04,2.4086506569e-01
6.250000,6.2589544297e-04,2.4545205880e-01
6.300000,6.2953264415e-04,2.4639643091e-01
6.350000,6.3509339129e-04,2.5346016304e-01
6.400000,6.3810502052e-04,2.5982480484e-01
6.450000,6.4435804789e-04,2.6174451242e-01
6.500000,6.4803489890e-04,2.6196975511e-01
6.550000,6.5553553956e-04,2.6110491379e-01
6.600000,6.6178873761e-04,2.7061436953e-01
6.650000,6.6400056090e-04,2.6624553262e-01
6.700000,6.7241477550e-04,2.8590145848e-01
6.750000,6.7496980896e-04,2.8495155036e-01
6.800000,6.7948015700e-04,2.7092870082e-01
6.850000,6.8489060467e-04,2.9117436395e-01
6.900000,6.9054663059e-04,2.9483261459e-01
6.950000,6.9634763263e-04,2.9563124960e-01
7.000000,6.9984827439e-04,2.9894484108e-01
7.050000,7.0532306280e-04,3.0937908136e-01
7.100000,7.0913091608e-04,3.1290627857e-01
7.150000,7.1535272330e-04,3.1116582580e-01
7.200000,7.1864500445e-04,3.0601392556e-01
7.250000,7.2440995830e-04,3.2282336920e-01
7.300000,7.3005254499e-04,3.2706454525e-01
7.350000,7.3475183397e-04,3.3633161764e-01
7.400000,7.4020127737e-04,3.4003718386e-01
7.450000,7.4414571981e-04,3.3033036935e-01
7.500000,7.5209375200e-04,3.5943938887e-01
7.550000,7.5367138677e-04,3.4504097497e-01
7.600000,7.6029495562e-04,3.6500897542e-01
7.650000,7.6438631919e-04,3.6506576198e-01
7.700000,7.6912775216e-04,3.4767961715e-01
7.750000,7.7482106532e-04,3.6588406015e-01
7.800000,7.7891179294e-04,3.6806933906e-01
7.850000,7.8787904904e-04,3.6760416479e-01
7.900000,7.8972893484e-04,3.8221714243e-01
7.950000,7.9526164662e-04,3.8352074702e-01
8.000000,8.0019533259e-04,3.8486944410e-01
8.050000,8.0531842342e-04,3.9890999017e-01
8.100000,8.1022342147e-04,3.9736813184e-01
8.150000,8.1539494013e-04,3.9429596896e-01
8.200000,8.2190182725e-04,4.1618022729e-01
8.250000,8.2578306905e-04,4.1106141712e-01
8.300000,8.3103286790e-04,4.0028995981e-01
8.350000,8.3498325460e-04,4.4099327837e-01
8.400000,8.4107449958e-04,4.3741179384e-01
8.450000,8.4370524982e-04,4.2417383950e-01
8.500000,8.5089065681e-04,4.3576265955e-01
8.550000,8.5440470399e-04,4.5303697415e-01
8.600000,8.6029615719e-04,4.5854648277e-01
8.650000,8.6530216623e-04,4.4770492993e-01
8.700000,8.7000365058e-04,4.5808917071e-01
8.750000,8.7609581170e-04,4.6156172874e-01
8.800000,8.7999189084e-04,4.6565190488e-01
8.850000,8.8572709193e-04,4.5175639528e-01
8.900000,8.8948032648e-04,4.6859684321e-01
8.950000,8.9668690475e-04,4.7465830802e-01
9.000000,9.0036714473e-04,4.9261316697e-01
9.050000,9.0605078209e-04,4.8352270515e-01
9.100000,9.0948588148e-04,4.7101291024e-01
9.150000,9.1664006406e-04,4.8652414794e-01
9.200000,9.2235606112e-04,4.9792493796e-01
9.250000,9.2277971975e-04,5.1285788974e-01
9.300000,9.2914429220e-04,4.9855410880e-01
9.350000,9.3479598884e-04,5.3091833749e-01
9.400000,9.3910111965e-04,5.2122353955e-01
9.450000,9.4578514103e-04,5.3572144941e-01
9.500000,9.5072060092e-04,5.5536463545e-01
9.550000,9.5500888988e-04,5.5048699156e-01
9.600000,9.6099970346e-04,5.5563980373e-01
9.650000,9.6446989394e-04,5.4415961093e-01
9.700000,9.6869050674e-04,5.4902147241e-01
9.750000,9.7528650063e-04,5.7592605985e-01
9.800000,9.7940538753e-04,5.8402808447e-01
9.850000,9.8369698758e-04,5.5040631347e-01
9.900000,9.8942826609e-04,5.7431754476e-01
