Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,-2.4532566704e-06
0.050000,6.3786966259e-06,1.2378622666e-03
0.100000,9.5991503696e-06,3.5017089899e-03
0.150000,1.4217583049e-05,6.6513921884e-03
0.200000,1.9934517695e-05,1.0616071847e-02
0.250000,2.3609261940e-05,1.3860123303e-02
0.300000,2.9602938580e-05,1.6719706310e-02
0.350000,3.6280120817e-05,2.3110536013e-02
0.400000,3.9987344675e-05,2.6499377760e-02
0.450000,4.4337281066e-05,3.1826480779e-02
0.500000,4.9159924260e-05,4.0428701824e-02
0.550000,5.3245307957e-05,4.7973882299e-02
0.600000,6.1672748365e-05,4.9206509669e-02
0.650000,6.4623300800e-05,5.5939665735e-02
0.700000,6.7857736412e-05,5.4869248937e-02
0.750000,7.4539374980e-05,6.9393867735e-02
0.800000,8.1727938622e-05,6.6066837494e-02
0.850000,8.5939191567e-05,7.7103222234e-02
0.900000,9.0075854170e-05,8.5427331215e-02
0.950000,9.5886713187e-05,8.7318783411e-02
1.000000,9.7913443303e-05,8.7336575497e-02
1.050000,1.0341776296e-04,1.0253413880e-01
1.100000,1.0913232326e-04,1.1213031235e-01
1.150000,1.1566293432e-04,1.0380366448e-01
1.200000,1.2082356357e-04,1.1948395295e-01
1.250000,1.2528954973e-04,1.3562954296e-01
1.300000,1.3078200459e-04,1.4516284696e-01
1.350000,1.3505751892e-04,1.5029661457e-01
1.400000,1.3999957057e-04,1.5052892814e-01
1.450000,1.4411384362e-04,1.5765969571e-01
1.500000,1.4969448358e-04,1.6035814407e-01
1.550000,1.5506278429e-04,1.8324887759e-01
1.600000,1.6049946151e-04,1.6146887328e-01
1.650000,1.6571300442e-04,1.8059351644e-01
1.700000,1.6916422821e-04,1.9193295422e-01
1.750000,1.7550225402e-04,1.9545771414e-01
1.800000,1.8016522442e-04,1.8627019284e-01
1.850000,1.8479589928e-04,2.0802480098e-01
1.900000,1.9084804812e-04,2.1490749841e-01
1.950000,1.9572375414e-04,2.1081856355e-01
2.000000,1.9975421399e-04,2.2315572189e-01
2.050000,2.0453886826e-04,2.3789375803e-01
2.100000,2.0982437499e-04,2.3279374380e-01
2.150000,2.1440089978e-04,2.5123339239e-01
2.200000,2.2078787040e-04,2.7974154613e-01
2.250000,2.2682457519e-04,2.4780578570e-01
2.300000,2.3113768606e-04,2.6693169156e-01
2.350000,2.3496606994e-04,2.9752708901e-01
2.400000,2.4079972665e-04,2.6961967877e-01
2.450000,2.4454271096e-04,2.7810307395e-01
2.500000,2.4923679714e-04,3.0088464501e-01
2.550000,2.5364371441e-04,2.9879062778e-01
2.600000,2.6117370137e-04,3.3372279522e-01
2.650000,2.6515347972e-04,3.2073117637e-01
2.700000,2.7091789773e-04,3.4128809937e-01
2.750000,2.7508294782e-04,3.0803603522e-01
2.800000,2.8053348136e-04,3.0010439212e-01
2.850000,2.8365662976e-04,3.6852332943e-01
2.900000,2.8931316911e-04,3.4400533327e-01
2.950000,2.9530042778e-04,3.3865594211e-01
3.000000,2.9876842251e-04,3.7445892901e-01
3.050000,3.0394668954e-04,3.6135591832e-01
3.100000,3.1017552948e-04,3.4432454935e-01
3.150000,3.1515202889e-04,3.5767450946e-01
3.200000,3.2016640943e-04,3.9178083513e-01
3.250000,3.2486187104e-04,3.6706074854e-01
3.300000,3.2988131983e-04,3.8434950147e-01
3.350000,3.3506072147e-04,4.7619359852e-01
3.400000,3.3958203713e-04,4.2839065204e-01
3.450000,3.4639932222e-04,4.5003397566e-01
3.500000,3.4955397936e-04,4.6303135082e-01
3.550000,3.5400166056e-04,4.1749456795e-01
3.600000,3.6181601445e-04,4.1374059263e-01
3.650000,3.6519416973e-04,4.7072345807e-01
3.700000,3.6972249259e-04,4.3286802938e-01
3.750000,3.7414640774e-04,5.3835674508e-01
3.800000,3.7804495608e-04,5.4108603202e-01
3.850000,3.8385960542e-04,4.8984814739e-01
3.900000,3.9021007630e-04,4.7179183781e-01
3.950000,3.9498595313e-04,5.1017786263e-01
4.000000,4.0038518006e-04,5.6358887294e-01
4.050000,4.0455501962e-04,5.6857330399e-01
4.100000,4.0861854271e-04,5.7455558098e-01
4.150000,4.1466800446e-04,5.5916213549e-01
4.200000,4.2046170067e-04,5.4361269775e-01
4.250000,4.2352295670e-04,5.5333834784e-01
4.300000,4.3265264684e-04,5.3936376341e-01
4.350000,4.3573608524e-04,5.7661176492e-01
4.400000,4.4084602859e-04,5.3664844165e-01
4.450000,4.4587114323e-04,5.5679689811e-01
4.500000,4.5001618947e-04,5.7669814009e-01
4.550000,4.5428060914e-04,6.3287595608e-01
4.600000,4.5900891097e-04,6.1954459028e-01
4.650000,4.6473784093e-04,6.2086037799e-01
4.700000,4.6877682355e-04,5.9538393140e-01
4.750000,4.7544097242e-04,6.2581234825e-01
4.800000,4.7943409020e-04,6.2303913754e-01
4.850000,4.8589002415e-04,6.2500773296e-01
4.900000,4.8960382239e-04,6.4117299409e-01
4.950000,4.9449488532e-04,7.2517702292e-01
5.000000,4.9820987535e-04,6.9085001148e-01
5.050000,5.0540136359e-04,7.2174924289e-01
5.100000,5.1006003112e-04,6.3593914643e-01
5.150000,5.1523098094e-04,7.1748413779e-01
5.200000,5.1961868677e-04,6.9139027819e-01
5.250000,5.2431956849e-04,6.8441050812e-01
5.300000,5.2914599971e-04,7.1214243498e-01
5.350000,5.3435065017e-04,7.2013221268e-01
5.400000,5.3913820110e-04,7.5478247278e-01
5.450000,5.4574739430e-04,7.8811637456e-01
5.500000,5.5146232410e-04,7.4383353387e-01
5.550000,5.5481836528e-04,8.2358791428e-01
5.600000,5.5836856856e-04,8.0418246419e-01
5.650000,5.6401005111e-04,7.8903152768e-01
5.700000,5.6994892154e-04,8.6072552599e-01
5.750000,5.7492266839e-04,8.3374663405e-01
5.800000,5.8119459480e-04,8.5879615701e-01
5.850000,5.8303042826e-04,7.9765019015e-01
5.900000,5.8966234716e-04,8.6136021502e-01
5.950000,5.9469823781e-04,9.1458021121e-01
6.000000,5.9900642497e-04,8.4036713738e-01
6.050000,6.0623208234e-04,8.4666039389e-01
6.100000,6.1100456438e-04,7.8844736182e-01
6.150000,6.1588856602e-04,8.9146458565e-01
6.200000,6.2033542169e-04,9.5607814696e-01
6.250000,6.2492592252e-04,8.9087790820e-01
6.300000,6.2958070523e-04,8.6658441467e-01
6.350000,6.3671832520e-04,8.7540647569e-01
6.400000,6.4031087616e-04,8.9547438509e-01
6.450000,6.4456858462e-04,1.0207075243e+00
6.500000,6.5291877045e-04,9.5521237101e-01
6.550000,6.5541494506e-04,9.8693321077e-01
6.600000,6.6029282643e-04,8.4724855271e-01
6.650000,6.6445849191e-04,9.7003291715e-01
6.700000,6.6994838571e-04,9.9337904460e-01
6.750000,6.7399046192e-04,9.8873651510e-01
6.800000,6.8196869986e-04,9.9232179992e-01
6.850000,6.8478584214e-04,1.0744855475e+00
6.900000,6.9060075094e-04,1.0062102956e+00
6.950000,6.9491555489e-04,9.5784081339e-01
7.000000,6.9950357659e-04,1.0918316884e+00
7.050000,7.0495670451e-04,1.0191158974e+00
7.100000,7.1061026044e-04,1.0706572474e+00
7.150000,7.1472871499e-04,1.1210779597e+00
7.200000,7.2041585063e-04,1.0373046463e+00
7.250000,7.2579685812e-04,1.0893944444e+00
7.300000,7.2870817831e-04,9.9840589392e-01
7.350000,7.3531021016e-04,1.0848632199e+00
7.400000,7.3932938116e-04,1.0418978048e+00
7.450000,7.4518234633e-04,1.1640995445e+00
7.500000,7.5129129361e-04,1.1812151341e+00
7.550000,7.5594404070e-04,1.0770114936e+00
7.600000,7.5968441662e-04,1.0309838842e+00
7.650000,7.6539622439e-04,1.0485442803e+00
7.700000,7.7011139705e-04,1.1397293354e+00
7.750000,7.7672824562e-04,1.2213706010e+00
7.800000,7.7990223335e-04,1.2417490597e+00
7.850000,7.8481010520e-04,1.2213474390e+00
7.900000,7.8937266854e-04,1.2263645738e+00
7.950000,7.9491788084e-04,1.1931209384e+00
8.000000,7.9887106588e-04,1.2929892635e+00
8.050000,8.0504358251e-04,1.2506622622e+00
8.100000,8.0886146069e-04,1.3397950955e+00
8.150000,8.1440143882e-04,1.2500877020e+00
8.200000,8.1948597012e-04,1.1892616609e+00
8.250000,8.2579913596e-04,1.2706282449e+00
8.300000,8.2949768146e-04,1.3606792230e+00
8.350000,8.3477260713e-04,1.3486393227e+00
8.400000,8.3996128211e-04,1.3544307916e+00
8.450000,8.4469475489e-04,1.3866646745e+00
8.500000,8.4906492502e-04,1.3679418663e+00
8.550000,8.5429074862e-04,1.2792218755e+00
8.600000,8.5929768491e-04,1.2991059752e+00
8.650000,8.6530218508e-04,1.3046259704e+00
8.700000,8.6961101451e-04,1.3244406029e+00
8.750000,8.7351084917e-04,1.2472540767e+00
8.800000,8.8087143097e-04,1.3598374371e+00
8.850000,8.8649022898e-04,1.4202345749e+00
8.900000,8.9219919676e-04,1.3738487496e+00
8.950000,8.9606159840e-04,1.4700602413e+00
9.000000,9.0050566820e-04,1.5311348661e+00
9.050000,9.0416324614e-04,1.2811807932e+00
9.100000,9.0990539589e-04,1.4150385838e+00
9.150000,9.1565752227e-04,1.5853237656e+00
9.200000,9.1803183901e-04,1.4996664234e+00
9.250000,9.2290234860e-04,1.5077506036e+00
9.300000,9.3047899762e-04,1.5402068240e+00
9.350000,9.3513021119e-04,1.5685248224e+00
9.400000,9.3752191032e-04,1.4654473274e+00
9.450000,9.4475137453e-04,1.5675658008e+00
9.500000,9.4914721285e-04,1.5644845907e+00
9.550000,9.5633328574e-04,1.5727601385e+00
9.600000,9.6038626594e-04,1.5291249073e+00
9.650000,9.6569615675e-04,1.5506984054e+00
9.700000,9.7231338869e-04,1.4665086005e+00
9.750000,9.7439443599e-04,1.4896742610e+00
9.800000,9.8027549341e-04,1.7008123627e+00
9.850000,9.8631401109e-04,1.6671909400e+00
9.900000,9.9094296477e-04,1.5123205982e+00
9.950000,9.9413406223e-04,1.4805411508e+00
10.000000,9.9989279885e-04,1.7202614309e+00
10.050000,1.0006001406e-03,1.6629259699e+00
10.100000,9.9984518247e-04,1.5982385046e+00
10.150000,1.0015954360e-03,1.6585481280e+00
10.200000,9.9819105562e-04,1.4755092241e+00
10.250000,9.9931066616e-04,1.5221591243e+00
10.300000,9.9991938252e-04,1.4927635206e+00
10.350000,9.9915994260e-04,1.4883386563e+00
10.400000,1.0010698065e-03,1.4126487788e+00
10.450000,1.0009192367e-03,1.5188724659e+00
10.500000,1.0013996099e-03,1.4045065448e+00
10.550000,1.0008984008e-03,1.4123847484e+00
10.600000,9.9918138801e-04,1.5526639068e+00
10.650000,9.9895280381e-04,1.3673888781e+00
10.700000,9.9979342504e-04,1.4798444068e+00
10.750000,9.9910210726e-04,1.4570998369e+00
10.800000,1.0007960654e-03,1.5994368534e+00
10.850000,1.0013522587e-03,1.3931749799e+00
10.900000,1.0003946754e-03,1.3663358216e+00
10.950000,1.0003118513e-03,1.3121682469e+00
11.000000,1.0020995897e-03,1.4195562812e+00
11.050000,1.0011608335e-03,1.4422309127e+00
11.100000,1.0007220791e-03,1.3635632156e+00
11.150000,1.0014005332e-03,1.3985524585e+00
11.200000,1.0006712158e-03,1.4018690653e+00
11.250000,1.0012576989e-03,1.4549099441e+00
11.300000,9.9965294187e-04,1.4093415087e+00
11.350000,9.9983086436e-04,1.2949628705e+00
11.400000,9.9968223762e-04,1.2899342898e+00
11.450000,9.9923034782e-04,1.3653343193e+00
11.500000,1.0002658415e-03,1.3737044418e+00
11.550000,1.0014083788e-03,1.3593884505e+00
11.600000,1.0012471911e-03,1.3450869678e+00
11.650000,1.0022582664e-03,1.3803229706e+00
11.700000,9.9843119080e-04,1.2988208090e+00
11.750000,1.0008493362e-03,1.2355235957e+00
11.800000,9.9973747154e-04,1.4217590612e+00
11.850000,1.0006971814e-03,1.3224409399e+00
11.900000,9.9946352875e-04,1.2527784011e+00
11.950000,1.0004247714e-03,1.2426987091e+00
12.000000,1.0000627101e-03,1.3400018928e+00
12.050000,9.9937646567e-04,1.3698833978e+00
12.100000,9.9948670741e-04,1.2366154966e+00
12.150000,1.0001769329e-03,1.2695870205e+00
12.200000,1.0007759158e-03,1.2891156500e+00
12.250000,9.9917492922e-04,1.2726377365e+00
12.300000,9.9920386312e-04,1.2830271968e+00
