Time [s],Displacement [m],Force [N]
0.000000,7.4341638186e-07,7.5961295566e-06
0.050000,3.7443912520e-06,7.9429363155e-06
0.100000,1.1329893770e-05,1.0958761942e-04
0.150000,1.4902100191e-05,2.2841484649e-04
0.200000,2.0333181045e-05,4.2512570763e-04
0.250000,2.4430390970e-05,6.3711808122e-04
0.300000,2.9483759640e-05,8.2190701891e-04
0.350000,3.5492054159e-05,1.1875547601e-03
0.400000,3.8769384383e-05,1.7504368316e-03
0.450000,4.4681655047e-05,2.0774200503e-03
0.500000,4.7870509029e-05,2.6612993134e-03
0.550000,5.4897263618e-05,2.9519244741e-03
0.600000,5.8173783806e-05,3.4281774645e-03
0.650000,6.5947414808e-05,3.8593739443e-03
0.700000,6.9548002394e-05,4.0898205417e-03
0.750000,7.3027365012e-05,5.3781990159e-03
0.800000,8.1614493024e-05,5.7394273615e-03
0.850000,8.3559388475e-05,6.4310895838e-03
0.900000,8.9499196308e-05,6.3987422120e-03
0.950000,9.2190612785e-05,7.4810460571e-03
1.000000,1.0083530337e-04,8.7676635872e-03
1.050000,1.0478328505e-04,9.3888250547e-03
1.100000,1.0977747943e-04,9.7977106550e-03
1.150000,1.1547998390e-04,1.1382893164e-02
1.200000,1.2024719040e-04,1.1827959147e-02
1.250000,1.2449355870e-04,1.2952499638e-02
1.300000,1.2908215229e-04,1.4080948605e-02
1.350000,1.3568377390e-04,1.4000479000e-02
1.400000,1.3881327273e-04,1.4553089133e-02
1.450000,1.4583743916e-04,1.8107704641e-02
1.500000,1.5114885525e-04,1.6105590142e-02
1.550000,1.5506200772e-04,1.9285433741e-02
1.600000,1.5855894864e-04,2.0185531192e-02
1.650000,1.6445258141e-04,2.0683275743e-02
1.700000,1.6928531589e-04,2.2255684909e-02
1.750000,1.7567295720e-04,2.2967253398e-02
1.800000,1.7990772515e-04,2.4425262407e-02
1.850000,1.8719782049e-04,2.4605263125e-02
1.900000,1.8944083537e-04,2.9174047632e-02
1.950000,1.9489171839e-04,2.8740846219e-02
2.000000,2.0203436226e-04,2.9353569371e-02
2.050000,2.0417553892e-04,2.9030557553e-02
2.100000,2.0968955891e-04,3.1393910145e-02
2.150000,2.1532604840e-04,3.0468892424e-02
2.200000,2.1848459426e-04,3.7408407084e-02
2.250000,2.2303865869e-04,3.5443830702e-02
2.300000,2.2955489769e-04,4.2506887638e-02
2.350000,2.3487137618e-04,3.6808043947e-02
2.400000,2.4103329140e-04,3.6872602749e-02
2.450000,2.4626645609e-04,4.0381033932e-02
2.500000,2.5079015435e-04,4.2336278682e-02
2.550000,2.5571730620e-04,4.2432020160e-02
2.600000,2.6128315187e-04,4.6124607152e-02
2.650000,2.6595023203e-04,4.7650720170e-02
2.700000,2.6998784190e-04,4.3188858272e-02
2.750000,2.7544103004e-04,5.5172190833e-02
2.800000,2.7935055577e-04,5.0099156191e-02
2.850000,2.8544127982e-04,5.5651952468e-02
2.900000,2.9003574506e-04,5.2945020927e-02
2.950000,2.9580420313e-04,5.7760138042e-02
3.000000,2.9962448204e-04,5.7563154106e-02
3.050000,3.0420423275e-04,5.9232503822e-02
