Time [s],Displacement [m],Force [N]
0.000000,8.7706778436e-07,-1.1029698134e-06
0.050000,3.9520298702e-06,5.2390280832e-02
0.100000,9.1003646783e-06,1.0451491039e-01
0.150000,1.3127252296e-05,1.5628585235e-01
0.200000,1.9000690530e-05,2.0766881167e-01
0.250000,2.6802994706e-05,2.3664025484e-01
0.300000,2.9798757182e-05,2.8176890881e-01
0.350000,3.5954865937e-05,3.3393823830e-01
0.400000,3.9598038924e-05,3.7165913853e-01
0.450000,4.4534949629e-05,4.1883618091e-01
0.500000,4.8562277600e-05,4.5297535307e-01
0.550000,5.4996936915e-05,4.6469015556e-01
0.600000,6.0541515425e-05,5.3148312996e-01
0.650000,6.4172583189e-05,5.4090681715e-01
0.700000,7.0001010079e-05,5.9899390407e-01
0.750000,7.3813888475e-05,6.2417173256e-01
0.800000,8.0011631057e-05,6.4988426339e-01
0.850000,8.4454398132e-05,6.8599144469e-01
0.900000,8.9400976421e-05,6.9436657200e-01
0.950000,9.5249048409e-05,7.4949725889e-01
1.000000,9.8973378289e-05,7.5532051645e-01
1.050000,1.0534876071e-04,8.1493203299e-01
1.100000,1.0965914032e-04,8.4915928363e-01
1.150000,1.1473908434e-04,8.5096027091e-01
1.200000,1.1847475425e-04,8.6375768584e-01
1.250000,1.2510209752e-04,8.8979463200e-01
1.300000,1.2937327857e-04,9.2663052787e-01
1.350000,1.3323266375e-04,9.5467984701e-01
1.400000,1.3798774660e-04,9.7501265281e-01
1.450000,1.4588316553e-04,9.9152703441e-01
1.500000,1.5045583481e-04,9.9676109250e-01
1.550000,1.5471625788e-04,1.0443390474e+00
1.600000,1.6010677901e-04,1.0784475133e+00
1.650000,1.6521653186e-04,1.1459688696e+00
1.700000,1.6987369170e-04,1.1097540536e+00
1.750000,1.7565474929e-04,1.1210092599e+00
1.800000,1.7992782527e-04,1.1717234420e+00
1.850000,1.8510100527e-04,1.2040422045e+00
1.900000,1.9159874610e-04,1.2162146370e+00
1.950000,1.9590523408e-04,1.2064687965e+00
2.000000,2.0010315844e-04,1.2119222393e+00
2.050000,2.0460416138e-04,1.2287522382e+00
2.100000,2.1118777008e-04,1.2734858411e+00
2.150000,2.1413157692e-04,1.2380117351e+00
2.200000,2.1852570639e-04,1.3066457174e+00
2.250000,2.2626337033e-04,1.3492271127e+00
2.300000,2.3080029293e-04,1.3251918842e+00
2.350000,2.3792030519e-04,1.3548959870e+00
2.400000,2.3833410147e-04,1.4364742651e+00
2.450000,2.4494018367e-04,1.3824754133e+00
2.500000,2.5212958125e-04,1.4531099696e+00
2.550000,2.5545229322e-04,1.4089895895e+00
2.600000,2.6092289587e-04,1.4481047638e+00
2.650000,2.6395377350e-04,1.4295861325e+00
2.700000,2.6990406417e-04,1.4743325145e+00
2.750000,2.7412625591e-04,1.5192482892e+00
2.800000,2.8060158828e-04,1.4709765225e+00
2.850000,2.8399272071e-04,1.4708557966e+00
2.900000,2.9079243800e-04,1.5257735976e+00
2.950000,2.9428979044e-04,1.5288492433e+00
3.000000,2.9970642023e-04,1.5684216487e+00
3.050000,3.0527390786e-04,1.6075013467e+00
3.100000,3.1212192211e-04,1.6502792583e+00
3.150000,3.1462945467e-04,1.6171439206e+00
3.200000,3.2011116230e-04,1.6256017576e+00
3.250000,3.2563759685e-04,1.6720806700e+00
3.300000,3.3095769440e-04,1.6995019117e+00
3.350000,3.3379205245e-04,1.7296448288e+00
3.400000,3.3928991876e-04,1.6800144753e+00
3.450000,3.4504313882e-04,1.7383454134e+00
3.500000,3.4952965874e-04,1.7126868541e+00
3.550000,3.5558716241e-04,1.7611274838e+00
3.600000,3.6068065795e-04,1.7452068879e+00
3.650000,3.6544733955e-04,1.7613784954e+00
3.700000,3.7049928428e-04,1.7754151343e+00
3.750000,3.7596915214e-04,1.7448820452e+00
3.800000,3.7958918960e-04,1.7660144520e+00
3.850000,3.8300150304e-04,1.7901289750e+00
3.900000,3.8867009816e-04,1.8537840219e+00
3.950000,3.9352542886e-04,1.9074152664e+00
4.000000,3.9913668438e-04,1.8821320124e+00
4.050000,4.0343098287e-04,1.8516389181e+00
4.100000,4.0977544281e-04,1.8392203654e+00
4.150000,4.1224975575e-04,1.8667558403e+00
4.200000,4.1765771987e-04,1.9299621269e+00
4.250000,4.2609918426e-04,1.8979329748e+00
4.300000,4.3016618483e-04,1.9088832621e+00
4.350000,4.3449447645e-04,1.9655888677e+00
4.400000,4.4043161072e-04,1.9696019666e+00
4.450000,4.4520717513e-04,1.9190270274e+00
4.500000,4.5075142319e-04,2.0077335839e+00
4.550000,4.5569646038e-04,1.9465734417e+00
4.600000,4.6072626285e-04,2.0179985972e+00
4.650000,4.6411139783e-04,1.9327774421e+00
4.700000,4.7130435671e-04,2.0432583031e+00
4.750000,4.7587487407e-04,2.0609656113e+00
4.800000,4.8076419662e-04,2.0760139733e+00
4.850000,4.8501591246e-04,2.0825593407e+00
4.900000,4.8863969288e-04,2.1078841192e+00
4.950000,4.9493189595e-04,2.1023034552e+00
5.000000,5.0173659795e-04,2.1376724731e+00
5.050000,5.0596259767e-04,2.1288721667e+00
5.100000,5.1034074185e-04,2.1110159733e+00
5.150000,5.1577682646e-04,2.1469788642e+00
5.200000,5.1948060576e-04,2.1007096325e+00
