Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,9.9042572111e-08
0.050000,3.7897848642e-06,4.6980425516e-05
0.100000,9.0996782425e-06,1.6932736628e-04
0.150000,1.5475634659e-05,3.2226574870e-04
0.200000,2.0628375946e-05,6.1798773785e-04
0.250000,2.5910597673e-05,8.3295250992e-04
0.300000,2.9003668380e-05,1.3974768571e-03
0.350000,3.4255858450e-05,1.6947309233e-03
0.400000,3.9871137931e-05,2.3093114496e-03
0.450000,4.5234515549e-05,2.9635941011e-03
0.500000,5.0621640103e-05,3.5828907898e-03
0.550000,5.4033271716e-05,4.5369642938e-03
0.600000,5.8984670748e-05,5.2328884485e-03
0.650000,6.4185590235e-05,5.8869914831e-03
0.700000,7.0956556564e-05,5.8293357178e-03
0.750000,7.3491648000e-05,6.9574587290e-03
0.800000,7.9425836761e-05,8.3094140451e-03
0.850000,8.5246458387e-05,9.6073793565e-03
0.900000,8.9631172643e-05,1.0991657678e-02
0.950000,9.5645294264e-05,1.1309664051e-02
1.000000,1.0122200266e-04,1.2680958069e-02
1.050000,1.0605103045e-04,1.3322415042e-02
1.100000,1.1015425129e-04,1.4123309448e-02
1.150000,1.1692313807e-04,1.6220276937e-02
1.200000,1.2072431630e-04,1.7125311399e-02
1.250000,1.2362449470e-04,1.8830883715e-02
1.300000,1.2901444808e-04,2.0969200015e-02
1.350000,1.3580244857e-04,2.0326050810e-02
1.400000,1.4116971420e-04,2.3190581200e-02
1.450000,1.4499052317e-04,2.1662037403e-02
1.500000,1.5027268042e-04,2.4341129484e-02
1.550000,1.5677725303e-04,2.6121399701e-02
1.600000,1.5959423682e-04,2.5363974232e-02
1.650000,1.6445335925e-04,3.1257353298e-02
1.700000,1.6972883634e-04,3.0690217232e-02
1.750000,1.7491507527e-04,3.4194157238e-02
1.800000,1.7843893282e-04,3.3966145332e-02
1.850000,1.8426243195e-04,3.6836865337e-02
1.900000,1.8972818851e-04,3.7302235892e-02
1.950000,1.9475442251e-04,4.0144264796e-02
2.000000,1.9961486227e-04,4.2093693114e-02
2.050000,2.0519006020e-04,3.8943347577e-02
2.100000,2.0914958978e-04,4.7198637816e-02
2.150000,2.1459312779e-04,4.4438539360e-02
2.200000,2.1918620191e-04,4.5270706893e-02
2.250000,2.2593525321e-04,5.0064063577e-02
2.300000,2.3062906774e-04,5.5618399451e-02
2.350000,2.3438710534e-04,5.4311198257e-02
2.400000,2.4092216524e-04,4.9586943576e-02
2.450000,2.4384401668e-04,5.5244437596e-02
2.500000,2.5125742492e-04,5.6165233190e-02
2.550000,2.5588701100e-04,5.7748933890e-02
2.600000,2.5814929593e-04,6.2851510001e-02
2.650000,2.6402327807e-04,6.7578943558e-02
2.700000,2.6879204276e-04,6.2296063008e-02
2.750000,2.7195376677e-04,6.9871441027e-02
2.800000,2.7922915862e-04,7.2485937623e-02
2.850000,2.8653074201e-04,8.1476162836e-02
2.900000,2.9098254080e-04,7.1276326048e-02
2.950000,2.9358513013e-04,7.5446621572e-02
3.000000,2.9867289664e-04,7.7220945235e-02
3.050000,3.0488969089e-04,7.7918621021e-02
3.100000,3.0989169430e-04,9.3494460527e-02
3.150000,3.1565754230e-04,8.8799034477e-02
3.200000,3.2202332811e-04,8.5442516662e-02
3.250000,3.2485521355e-04,8.4223743168e-02
3.300000,3.2999148525e-04,1.0144321620e-01
3.350000,3.3413595483e-04,9.6090397796e-02
3.400000,3.4072460526e-04,9.0639989088e-02
3.450000,3.4448714362e-04,1.0850868714e-01
3.500000,3.5058702039e-04,1.0704258503e-01
3.550000,3.5373206505e-04,1.0583370192e-01
3.600000,3.5975501620e-04,1.1393521656e-01
3.650000,3.6504599017e-04,1.0319043299e-01
3.700000,3.6924317440e-04,1.3066038843e-01
3.750000,3.7596769539e-04,1.1473726112e-01
3.800000,3.7941510427e-04,1.1955607522e-01
3.850000,3.8503542507e-04,1.2884164714e-01
3.900000,3.9166320381e-04,1.2696145506e-01
3.950000,3.9423578427e-04,1.2959234825e-01
4.000000,4.0146277060e-04,1.4913936424e-01
4.050000,4.0596528273e-04,1.4463396996e-01
4.100000,4.1130492340e-04,1.4677427022e-01
4.150000,4.1509745853e-04,1.4913880349e-01
4.200000,4.2007333045e-04,1.3556418740e-01
4.250000,4.2610404181e-04,1.5634873304e-01
4.300000,4.2989782219e-04,1.4305240528e-01
4.350000,4.3469884403e-04,1.6190142585e-01
4.400000,4.3907706323e-04,1.5224251125e-01
4.450000,4.4403491739e-04,1.4933838799e-01
4.500000,4.5012068392e-04,1.6075135062e-01
4.550000,4.5509291568e-04,1.5263974931e-01
4.600000,4.6144759765e-04,1.7884066040e-01
4.650000,4.6410465793e-04,1.5275598570e-01
4.700000,4.7247901244e-04,1.6919254445e-01
4.750000,4.7574345245e-04,1.7362670258e-01
4.800000,4.8155270485e-04,1.8232145391e-01
4.850000,4.8450702747e-04,1.8730288844e-01
4.900000,4.9000601668e-04,1.8022005890e-01
4.950000,4.9451366270e-04,1.9144085191e-01
5.000000,4.9998177962e-04,1.8498766094e-01
5.050000,5.0490326321e-04,1.8337816095e-01
5.100000,5.0865943653e-04,2.0354503465e-01
5.150000,5.1595448992e-04,2.0568726052e-01
5.200000,5.1978415663e-04,2.1027576395e-01
5.250000,5.2658528105e-04,2.1227625664e-01
5.300000,5.3112124224e-04,2.2537095847e-01
5.350000,5.3510446994e-04,2.0235434599e-01
5.400000,5.3902988936e-04,2.3938555830e-01
5.450000,5.4597932366e-04,2.5604542974e-01
5.500000,5.5026445813e-04,2.4506309417e-01
5.550000,5.5573826345e-04,2.5309025932e-01
5.600000,5.5914527711e-04,2.1820901734e-01
5.650000,5.6453820313e-04,2.1897949037e-01
5.700000,5.6977475073e-04,2.5608407051e-01
5.750000,5.7709916216e-04,2.2252669988e-01
5.800000,5.7952882122e-04,2.4042679967e-01
5.850000,5.8383897012e-04,2.6415566704e-01
5.900000,5.8972222205e-04,2.6485690666e-01
5.950000,5.9587513876e-04,2.9243515445e-01
6.000000,6.0150557986e-04,2.7359919748e-01
6.050000,6.0669881669e-04,2.6150395577e-01
6.100000,6.0959273591e-04,2.6298198544e-01
6.150000,6.1527245122e-04,2.7923175942e-01
6.200000,6.2161799398e-04,2.6960004823e-01
6.250000,6.2462789544e-04,2.9063494072e-01
6.300000,6.3091797331e-04,2.9436204575e-01
6.350000,6.3557796251e-04,3.0275484587e-01
6.400000,6.4005551689e-04,3.2794729503e-01
6.450000,6.4584609337e-04,3.0060919122e-01
6.500000,6.5131676758e-04,2.9662523020e-01
6.550000,6.5564423219e-04,2.7505117410e-01
6.600000,6.5948843639e-04,3.2843928414e-01
6.650000,6.6530402991e-04,3.0350241474e-01
6.700000,6.7046815848e-04,3.3299464599e-01
6.750000,6.7326192485e-04,3.4408812091e-01
6.800000,6.8039999915e-04,3.3045509709e-01
6.850000,6.8702101950e-04,3.3394480982e-01
6.900000,6.8900973545e-04,3.4184469069e-01
6.950000,6.9386035909e-04,3.5981918698e-01
7.000000,6.9961881863e-04,3.3361813447e-01
7.050000,7.0544280722e-04,3.9077306882e-01
7.100000,7.1069435814e-04,3.4977384965e-01
7.150000,7.1633300429e-04,4.0197825884e-01
7.200000,7.1909546298e-04,3.6898537228e-01
7.250000,7.2559951887e-04,3.6360768904e-01
7.300000,7.2938759158e-04,3.7788731996e-01
7.350000,7.3548032229e-04,4.1262854852e-01
7.400000,7.3967988146e-04,4.1771046298e-01
7.450000,7.4603723543e-04,4.2751297789e-01
7.500000,7.4888070776e-04,4.1435085154e-01
7.550000,7.5398827548e-04,4.1853545367e-01
7.600000,7.5903610401e-04,4.0592191731e-01
7.650000,7.6585375606e-04,4.5742925153e-01
7.700000,7.6977067261e-04,4.5379128473e-01
7.750000,7.7563436590e-04,3.9863874293e-01
7.800000,7.8100112108e-04,4.3468370506e-01
7.850000,7.8525207113e-04,4.1449079064e-01
7.900000,7.9038557000e-04,4.5345343943e-01
7.950000,7.9540295473e-04,4.4167058675e-01
8.000000,7.9938338319e-04,4.2875569008e-01
8.050000,8.0464418404e-04,4.5982067942e-01
8.100000,8.1203645502e-04,4.4650608032e-01
8.150000,8.1271662941e-04,4.8261736485e-01
8.200000,8.1868359617e-04,4.9625203565e-01
8.250000,8.2498248854e-04,4.7936313026e-01
8.300000,8.2969599649e-04,5.1780346929e-01
8.350000,8.3653064649e-04,4.5352298470e-01
8.400000,8.3796471016e-04,4.7786111720e-01
8.450000,8.4519089391e-04,5.0011198208e-01
8.500000,8.4868056611e-04,5.3846907713e-01
8.550000,8.5462139417e-04,5.3409045985e-01
8.600000,8.6246902528e-04,5.4284352362e-01
8.650000,8.6582066625e-04,5.4375705027e-01
8.700000,8.6925074645e-04,5.1632190319e-01
8.750000,8.7632596469e-04,5.7356378154e-01
8.800000,8.7996286618e-04,5.7529206239e-01
8.850000,8.8323251264e-04,5.4678467375e-01
8.900000,8.9014795403e-04,5.7908592452e-01
8.950000,8.9568389188e-04,5.6568202301e-01
9.000000,9.0029783513e-04,6.0586361161e-01
9.050000,9.0525666916e-04,5.7223577233e-01
9.100000,9.0969712064e-04,5.9878389601e-01
9.150000,9.1521823990e-04,5.7378564489e-01
9.200000,9.1831300950e-04,5.7095579232e-01
9.250000,9.2491475039e-04,5.7066130548e-01
9.300000,9.2926200480e-04,6.3364942874e-01
9.350000,9.3492777162e-04,5.9921180152e-01
9.400000,9.4071393037e-04,5.7576350043e-01
9.450000,9.4537066196e-04,6.3383950683e-01
9.500000,9.5044526287e-04,6.1446979032e-01
9.550000,9.5642269748e-04,6.0995046551e-01
9.600000,9.5859043243e-04,6.4855685978e-01
9.650000,9.6533439582e-04,7.2559189681e-01
