Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,0.0000000000e+00
0.050000,5.0000000000e-06,4.0165902819e-05
0.100000,1.0000000000e-05,1.5799033976e-04
0.150000,1.5000000000e-05,3.4982014145e-04
0.200000,2.0000000000e-05,6.1233760395e-04
0.250000,2.5000000000e-05,9.4252862571e-04
0.300000,3.0000000000e-05,1.3376538764e-03
0.350000,3.5000000000e-05,1.7952227093e-03
0.400000,4.0000000000e-05,2.3129695554e-03
0.450000,4.5000000000e-05,2.8888325643e-03
0.500000,5.0000000000e-05,3.5209342769e-03
0.550000,5.5000000000e-05,4.2075641374e-03
0.600000,6.0000000000e-05,4.9471626687e-03
0.650000,6.5000000000e-05,5.7383071539e-03
0.700000,7.0000000000e-05,6.5796986800e-03
0.750000,7.5000000000e-05,7.4701504140e-03
0.800000,8.0000000000e-05,8.4085769946e-03
0.850000,8.5000000000e-05,9.3939849333e-03
0.900000,9.0000000000e-05,1.0425463928e-02
0.950000,9.5000000000e-05,1.1502179005e-02
1.000000,1.0000000000e-04,1.2623363403e-02
1.050000,1.0500000000e-04,1.3788312144e-02
1.100000,1.1000000000e-04,1.4996376203e-02
1.150000,1.1500000000e-04,1.6246957244e-02
1.200000,1.2000000000e-04,1.7539502850e-02
1.250000,1.2500000000e-04,1.8873502205e-02
1.300000,1.3000000000e-04,2.0248482196e-02
1.350000,1.3500000000e-04,2.1664003874e-02
1.400000,1.4000000000e-04,2.3119659261e-02
1.450000,1.4500000000e-04,2.4615068453e-02
1.500000,1.5000000000e-04,2.6149877004e-02
1.550000,1.5500000000e-04,2.7723753557e-02
1.600000,1.6000000000e-04,2.9336387700e-02
1.650000,1.6500000000e-04,3.0987488024e-02
1.700000,1.7000000000e-04,3.2676780367e-02
1.750000,1.7500000000e-04,3.4404006230e-02
1.800000,1.8000000000e-04,3.6168921330e-02
1.850000,1.8500000000e-04,3.7971294307e-02
1.900000,1.9000000000e-04,3.9810905540e-02
1.950000,1.9500000000e-04,4.1687546085e-02
2.000000,2.0000000000e-04,4.3601016709e-02
2.050000,2.0500000000e-04,4.5551127013e-02
2.100000,2.1000000000e-04,4.7537694647e-02
2.150000,2.1500000000e-04,4.9560544592e-02
2.200000,2.2000000000e-04,5.1619508513e-02
2.250000,2.2500000000e-04,5.3714424170e-02
2.300000,2.3000000000e-04,5.5845134892e-02
2.350000,2.3500000000e-04,5.8011489092e-02
2.400000,2.4000000000e-04,6.0213339835e-02
2.450000,2.4500000000e-04,6.2450544442e-02
2.500000,2.5000000000e-04,6.4722964136e-02
2.550000,2.5500000000e-04,6.7030463718e-02
2.600000,2.6000000000e-04,6.9372911271e-02
2.650000,2.6500000000e-04,7.1750177902e-02
2.700000,2.7000000000e-04,7.4162137496e-02
2.750000,2.7500000000e-04,7.6608666502e-02
2.800000,2.8000000000e-04,7.9089643737e-02
2.850000,2.8500000000e-04,8.1604950202e-02
2.900000,2.9000000000e-04,8.4154468928e-02
2.950000,2.9500000000e-04,8.6738084824e-02
3.000000,3.0000000000e-04,8.9355684547e-02
3.050000,3.0500000000e-04,9.2007156380e-02
3.100000,3.1000000000e-04,9.4692390125e-02
3.150000,3.1500000000e-04,9.7411277001e-02
3.200000,3.2000000000e-04,1.0016370956e-01
3.250000,3.2500000000e-04,1.0294958159e-01
3.300000,3.3000000000e-04,1.0576878807e-01
3.350000,3.3500000000e-04,1.0862122507e-01
3.400000,3.4000000000e-04,1.1150678972e-01
3.450000,3.4500000000e-04,1.1442538012e-01
3.500000,3.5000000000e-04,1.1737689533e-01
3.550000,3.5500000000e-04,1.2036123529e-01
3.600000,3.6000000000e-04,1.2337830080e-01
3.650000,3.6500000000e-04,1.2642799347e-01
3.700000,3.7000000000e-04,1.2951021570e-01
3.750000,3.7500000000e-04,1.3262487063e-01
3.800000,3.8000000000e-04,1.3577186211e-01
3.850000,3.8500000000e-04,1.3895109470e-01
3.900000,3.9000000000e-04,1.4216247362e-01
3.950000,3.9500000000e-04,1.4540590476e-01
4.000000,4.0000000000e-04,1.4868129460e-01
4.050000,4.0500000000e-04,1.5198855026e-01
4.100000,4.1000000000e-04,1.5532757945e-01
4.150000,4.1500000000e-04,1.5869829045e-01
4.200000,4.2000000000e-04,1.6210059209e-01
4.250000,4.2500000000e-04,1.6553439379e-01
4.300000,4.3000000000e-04,1.6899960546e-01
4.350000,4.3500000000e-04,1.7249613759e-01
