Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,0.0000000000e+00
0.050000,5.0000000000e-06,7.7999748134e-02
0.100000,1.0000000000e-05,1.5224434010e-01
0.150000,1.5000000000e-05,2.2307916286e-01
0.200000,2.0000000000e-05,2.9081679512e-01
0.250000,2.5000000000e-05,3.5574012916e-01
0.300000,3.0000000000e-05,4.1810519558e-01
0.350000,3.5000000000e-05,4.7814371921e-01
0.400000,4.0000000000e-05,5.3606543187e-01
0.450000,4.5000000000e-05,5.9206016490e-01
0.500000,5.0000000000e-05,6.4629974275e-01
0.550000,5.5000000000e-05,6.9893969621e-01
0.600000,6.0000000000e-05,7.5012081268e-01
0.650000,6.5000000000e-05,7.9997053892e-01
0.700000,7.0000000000e-05,8.4860425028e-01
0.750000,7.5000000000e-05,8.9612639916e-01
0.800000,8.0000000000e-05,9.4263155422e-01
0.850000,8.5000000000e-05,9.8820534060e-01
0.900000,9.0000000000e-05,1.0329252908e+00
0.950000,9.5000000000e-05,1.0768616144e+00
1.000000,1.0000000000e-04,1.1200778949e+00
1.050000,1.0500000000e-04,1.1626317197e+00
1.100000,1.1000000000e-04,1.2045752506e+00
1.150000,1.1500000000e-04,1.2459557398e+00
1.200000,1.2000000000e-04,1.2868159968e+00
1.250000,1.2500000000e-04,1.3271948111e+00
1.300000,1.3000000000e-04,1.3671273343e+00
1.350000,1.3500000000e-04,1.4066454259e+00
1.400000,1.4000000000e-04,1.4457779667e+00
1.450000,1.4500000000e-04,1.4845511416e+00
1.500000,1.5000000000e-04,1.5229886964e+00
1.550000,1.5500000000e-04,1.5611121689e+00
1.600000,1.6000000000e-04,1.5989410994e+00
1.650000,1.6500000000e-04,1.6364932203e+00
1.700000,1.7000000000e-04,1.6737846279e+00
1.750000,1.7500000000e-04,1.7108299378e+00
1.800000,1.8000000000e-04,1.7476424256e+00
1.850000,1.8500000000e-04,1.7842341542e+00
1.900000,1.9000000000e-04,1.8206160888e+00
1.950000,1.9500000000e-04,1.8567982012e+00
2.000000,2.0000000000e-04,1.8927895643e+00
2.050000,2.0500000000e-04,1.9285984370e+00
2.100000,2.1000000000e-04,1.9642323416e+00
2.150000,2.1500000000e-04,1.9996981338e+00
2.200000,2.2000000000e-04,2.0350020656e+00
2.250000,2.2500000000e-04,2.0701498427e+00
2.300000,2.3000000000e-04,2.1051466762e+00
2.350000,2.3500000000e-04,2.1399973295e+00
2.400000,2.4000000000e-04,2.1747061605e+00
2.450000,2.4500000000e-04,2.2092771600e+00
2.500000,2.5000000000e-04,2.2437139865e+00
2.550000,2.5500000000e-04,2.2780199976e+00
2.600000,2.6000000000e-04,2.3121982781e+00
2.650000,2.6500000000e-04,2.3462516661e+00
2.700000,2.7000000000e-04,2.3801827760e+00
2.750000,2.7500000000e-04,2.4139940198e+00
2.800000,2.8000000000e-04,2.4476876259e+00
2.850000,2.8500000000e-04,2.4812656563e+00
2.900000,2.9000000000e-04,2.5147300224e+00
2.950000,2.9500000000e-04,2.5480824992e+00
3.000000,3.0000000000e-04,2.5813247375e+00
3.050000,3.0500000000e-04,2.6144582763e+00
3.100000,3.1000000000e-04,2.6474845525e+00
3.150000,3.1500000000e-04,2.6804049108e+00
3.200000,3.2000000000e-04,2.7132206122e+00
3.250000,3.2500000000e-04,2.7459328414e+00
3.300000,3.3000000000e-04,2.7785427145e+00
3.350000,3.3500000000e-04,2.8110512847e+00
3.400000,3.4000000000e-04,2.8434595484e+00
3.450000,3.4500000000e-04,2.8757684502e+00
3.500000,3.5000000000e-04,2.9079788877e+00
3.550000,3.5500000000e-04,2.9400917160e+00
3.600000,3.6000000000e-04,2.9721077510e+00
3.650000,3.6500000000e-04,3.0040277733e+00
3.700000,3.7000000000e-04,3.0358525314e+00
3.750000,3.7500000000e-04,3.0675827442e+00
3.800000,3.8000000000e-04,3.0992191040e+00
3.850000,3.8500000000e-04,3.1307622786e+00
3.900000,3.9000000000e-04,3.1622129133e+00
3.950000,3.9500000000e-04,3.1935716333e+00
