Time [s],Displacement [m],Force [N]
0.000000,7.8514610629e-07,6.9371377995e-06
0.050000,4.9398918203e-06,3.4044985573e-05
0.100000,1.0502734539e-05,1.6723747069e-04
0.150000,1.4454143825e-05,4.0258945566e-04
0.200000,2.1417761958e-05,6.3523168192e-04
0.250000,2.2930334506e-05,9.8428517437e-04
0.300000,2.8811017359e-05,1.4587560758e-03
0.350000,3.4285835872e-05,1.8506714052e-03
0.400000,4.0030996734e-05,2.5055006318e-03
0.450000,4.5015737907e-05,3.1249168857e-03
0.500000,4.9484477008e-05,3.6325148247e-03
0.550000,5.5370533038e-05,4.4662521040e-03
0.600000,5.9318082677e-05,5.3840639445e-03
0.650000,6.4910107952e-05,5.8558236664e-03
0.700000,7.1119144582e-05,6.8523477738e-03
0.750000,7.4555214216e-05,7.7784014384e-03
0.800000,8.0155416351e-05,9.0308870835e-03
0.850000,8.4889488405e-05,9.8680563202e-03
0.900000,9.0213471740e-05,1.1028229444e-02
0.950000,9.5404731643e-05,1.2098872607e-02
1.000000,9.8639295792e-05,1.3868563130e-02
1.050000,1.0508215805e-04,1.5300786326e-02
1.100000,1.1155461108e-04,1.6185596225e-02
1.150000,1.1505629304e-04,1.7974004741e-02
1.200000,1.1968263708e-04,1.8923695106e-02
1.250000,1.2547685163e-04,2.0061048139e-02
1.300000,1.3015860799e-04,2.2223756189e-02
1.350000,1.3564684104e-04,2.3698023537e-02
1.400000,1.4133414105e-04,2.5209265721e-02
1.450000,1.4486576445e-04,2.7505334219e-02
1.500000,1.5006276179e-04,2.9241523256e-02
1.550000,1.5520663782e-04,3.0502112805e-02
1.600000,1.6010375173e-04,3.4202683479e-02
1.650000,1.6584126354e-04,3.4413597628e-02
1.700000,1.6943935278e-04,3.5663344144e-02
1.750000,1.7490659945e-04,3.9167621339e-02
1.800000,1.7994732743e-04,4.2758701774e-02
1.850000,1.8388241496e-04,4.4922132778e-02
1.900000,1.9056951158e-04,4.7492504640e-02
1.950000,1.9695869548e-04,4.6875199185e-02
2.000000,2.0125126230e-04,5.0870432594e-02
2.050000,2.0337837424e-04,5.1750655784e-02
2.100000,2.1003012997e-04,5.2515858237e-02
2.150000,2.1642041407e-04,5.6221749216e-02
2.200000,2.2001463017e-04,5.7669633106e-02
2.250000,2.2502575891e-04,6.0411675520e-02
2.300000,2.3124575388e-04,6.5414489538e-02
2.350000,2.3350511094e-04,6.7671571859e-02
2.400000,2.4168070887e-04,6.8614838709e-02
2.450000,2.4488415060e-04,7.1952174916e-02
2.500000,2.5220946690e-04,7.5612806722e-02
2.550000,2.5445610719e-04,8.1413569954e-02
2.600000,2.5999333427e-04,8.4558493525e-02
2.650000,2.6560153412e-04,8.0822489743e-02
2.700000,2.7055441395e-04,8.6902209372e-02
2.750000,2.7525306540e-04,8.9178413131e-02
2.800000,2.8034034850e-04,9.2650389372e-02
2.850000,2.8567435145e-04,9.6387880047e-02
2.900000,2.8984025301e-04,9.8201386394e-02
2.950000,2.9407076563e-04,1.0436157654e-01
3.000000,3.0098439889e-04,1.0509530402e-01
3.050000,3.0643655446e-04,1.1068177770e-01
3.100000,3.1096618007e-04,1.0900086515e-01
3.150000,3.1416287475e-04,1.1419450389e-01
3.200000,3.2060937540e-04,1.2097087352e-01
3.250000,3.2568337083e-04,1.1813226194e-01
3.300000,3.2753772311e-04,1.2124213399e-01
3.350000,3.3562518239e-04,1.2800514970e-01
3.400000,3.4150925512e-04,1.2670876058e-01
3.450000,3.4292534060e-04,1.3132592542e-01
3.500000,3.5048268521e-04,1.4022242908e-01
3.550000,3.5348029436e-04,1.4267269993e-01
3.600000,3.5990027620e-04,1.4314711335e-01
3.650000,3.6537393919e-04,1.4696838499e-01
