Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,3.7885138392e-06
0.050000,5.8870572958e-06,5.8334279801e-05
0.100000,9.9399132833e-06,1.6781215048e-04
0.150000,1.5799347397e-05,3.4177672755e-04
0.200000,2.0291366913e-05,5.4032523457e-04
0.250000,2.6289484170e-05,8.7994794067e-04
0.300000,2.9363303565e-05,1.2072021729e-03
0.350000,3.5084355978e-05,1.5704587490e-03
0.400000,3.9090296307e-05,2.0074190031e-03
0.450000,4.6682164109e-05,2.4071689936e-03
0.500000,4.9190899487e-05,2.9294244520e-03
0.550000,5.3432331510e-05,3.6240923453e-03
0.600000,6.0765393101e-05,4.0700209041e-03
0.650000,6.2625064456e-05,4.6895774408e-03
0.700000,6.9391110720e-05,5.3790555666e-03
0.750000,7.5402408617e-05,6.0849319419e-03
0.800000,7.9668725738e-05,6.6684218838e-03
0.850000,8.7195169104e-05,7.5852842028e-03
0.900000,9.0522160712e-05,8.2115587586e-03
0.950000,9.6350888381e-05,8.9961127606e-03
1.000000,1.0078720026e-04,9.9491854285e-03
1.050000,1.0508454625e-04,1.0527981338e-02
1.100000,1.0964487970e-04,1.1243146094e-02
1.150000,1.1240366959e-04,1.2631401554e-02
1.200000,1.1908220094e-04,1.3793021225e-02
1.250000,1.2465771201e-04,1.4676581935e-02
1.300000,1.3051599076e-04,1.5467133881e-02
1.350000,1.3552348991e-04,1.6466754841e-02
1.400000,1.3897086545e-04,1.7575694905e-02
1.450000,1.4467757611e-04,1.8478078565e-02
1.500000,1.4826611135e-04,1.9883144590e-02
1.550000,1.5422922509e-04,2.0528612811e-02
1.600000,1.6129354367e-04,2.1265152582e-02
1.650000,1.6834016852e-04,2.3567460275e-02
1.700000,1.7080502758e-04,2.5617597640e-02
1.750000,1.7320927286e-04,2.4925194396e-02
1.800000,1.7999983725e-04,2.7781266059e-02
1.850000,1.8438910514e-04,2.9029687005e-02
1.900000,1.8989601192e-04,2.9959776156e-02
1.950000,1.9500874968e-04,3.1629407301e-02
2.000000,1.9986792075e-04,3.2891386101e-02
2.050000,2.0537664142e-04,3.3551044212e-02
2.100000,2.1104050266e-04,3.6624017387e-02
2.150000,2.1559863572e-04,3.7010133101e-02
2.200000,2.1871177387e-04,3.9522862146e-02
2.250000,2.2528376065e-04,4.0175253126e-02
2.300000,2.3054427863e-04,4.1817107074e-02
2.350000,2.3538251393e-04,4.1981676777e-02
2.400000,2.3919933718e-04,4.5724765056e-02
2.450000,2.4553935595e-04,4.5252221582e-02
2.500000,2.4883200838e-04,4.9003932740e-02
2.550000,2.5449998363e-04,4.8666699626e-02
2.600000,2.5979877553e-04,5.2191620352e-02
2.650000,2.6521279065e-04,5.1659110903e-02
2.700000,2.6948785714e-04,5.5046445958e-02
2.750000,2.7489869071e-04,5.8648344452e-02
2.800000,2.8131231495e-04,5.6231194045e-02
2.850000,2.8518366908e-04,6.2383758646e-02
2.900000,2.9120972091e-04,6.0786400591e-02
2.950000,2.9472774362e-04,6.4677643622e-02
3.000000,3.0017273110e-04,6.4870253607e-02
3.050000,3.0483813580e-04,6.7985628450e-02
3.100000,3.1018778882e-04,7.0338894030e-02
3.150000,3.1511502439e-04,7.2355580018e-02
3.200000,3.1901271565e-04,7.2166526479e-02
3.250000,3.2724162114e-04,7.6523473176e-02
3.300000,3.2989869438e-04,8.0142256953e-02
3.350000,3.3535297453e-04,8.1009672001e-02
3.400000,3.3887146618e-04,8.0452811937e-02
3.450000,3.4413181301e-04,8.6828738317e-02
3.500000,3.4996698812e-04,8.6883077229e-02
3.550000,3.5443954302e-04,8.5021980218e-02
3.600000,3.5860592106e-04,9.1588043709e-02
3.650000,3.6497482082e-04,9.3694054777e-02
3.700000,3.7001934769e-04,9.2226344464e-02
3.750000,3.7405098314e-04,9.6817321688e-02
3.800000,3.8148489086e-04,1.0325639480e-01
3.850000,3.8485408847e-04,1.0477924696e-01
3.900000,3.9117336085e-04,1.0355932339e-01
3.950000,3.9484984866e-04,1.0762802209e-01
4.000000,3.9960195513e-04,1.0500039925e-01
4.050000,4.0384855611e-04,1.0638591345e-01
4.100000,4.1010507860e-04,1.1178870240e-01
4.150000,4.1551740207e-04,1.1117879702e-01
4.200000,4.2107420269e-04,1.1957057537e-01
4.250000,4.2350811137e-04,1.2016309638e-01
4.300000,4.3174561970e-04,1.2543993776e-01
4.350000,4.3654734415e-04,1.2087206077e-01
4.400000,4.3936076088e-04,1.2781137115e-01
4.450000,4.4512261619e-04,1.3297148159e-01
4.500000,4.5052472489e-04,1.2965344251e-01
4.550000,4.5536268158e-04,1.3783665873e-01
4.600000,4.6069664801e-04,1.3619459622e-01
4.650000,4.6319541935e-04,1.4027165505e-01
4.700000,4.7026214236e-04,1.4379014817e-01
4.750000,4.7151992108e-04,1.4138250704e-01
4.800000,4.8103193970e-04,1.4319262365e-01
4.850000,4.8556616522e-04,1.4644625275e-01
4.900000,4.8892322224e-04,1.5220084225e-01
4.950000,4.9577871097e-04,1.4883723901e-01
5.000000,5.0039472555e-04,1.5860930346e-01
5.050000,5.0646050690e-04,1.5485055824e-01
5.100000,5.1127987484e-04,1.6186299724e-01
5.150000,5.1638783771e-04,1.5857751797e-01
5.200000,5.1950754500e-04,1.6774214223e-01
5.250000,5.2528829403e-04,1.7296636500e-01
5.300000,5.3008438759e-04,1.6951834904e-01
5.350000,5.3432283945e-04,1.7189899462e-01
5.400000,5.3993485052e-04,1.8111449545e-01
5.450000,5.4393926846e-04,1.7251350803e-01
5.500000,5.4880709132e-04,1.8386752051e-01
5.550000,5.5499553246e-04,1.8748744016e-01
5.600000,5.5911409246e-04,1.8556924751e-01
5.650000,5.6308450890e-04,1.9721106020e-01
5.700000,5.7057734687e-04,1.9709082846e-01
5.750000,5.7668162571e-04,2.0279960210e-01
5.800000,5.7988012288e-04,1.9875437264e-01
5.850000,5.8502492535e-04,2.0642166197e-01
5.900000,5.9029011566e-04,2.0339460890e-01
5.950000,5.9578800515e-04,2.0438974560e-01
6.000000,5.9857167343e-04,2.1689064061e-01
6.050000,6.0425485116e-04,2.1682641240e-01
6.100000,6.0899395802e-04,2.1758617493e-01
6.150000,6.1464611430e-04,2.2172859978e-01
6.200000,6.2124199348e-04,2.3260770167e-01
6.250000,6.2595340234e-04,2.1585661607e-01
6.300000,6.2941074860e-04,2.1938688154e-01
6.350000,6.3486630017e-04,2.3577059991e-01
6.400000,6.3838786196e-04,2.2953746781e-01
6.450000,6.4617576895e-04,2.4182941637e-01
6.500000,6.5112230739e-04,2.4163687662e-01
6.550000,6.5406347929e-04,2.4838289744e-01
6.600000,6.5980009796e-04,2.4650548875e-01
6.650000,6.6309556138e-04,2.5054997034e-01
6.700000,6.7142139324e-04,2.5224003316e-01
6.750000,6.7499091115e-04,2.5606638305e-01
6.800000,6.8049065202e-04,2.6042457082e-01
6.850000,6.8564237823e-04,2.7584022594e-01
6.900000,6.9195492434e-04,2.6485026477e-01
6.950000,6.9755840351e-04,2.6643999803e-01
7.000000,6.9872040939e-04,2.7898972853e-01
7.050000,7.0440439696e-04,2.7476504185e-01
7.100000,7.0983254753e-04,2.7704025794e-01
7.150000,7.1647283402e-04,2.8836098080e-01
7.200000,7.2167305633e-04,2.8140674049e-01
7.250000,7.2479647579e-04,2.8460072035e-01
7.300000,7.3002637038e-04,2.8878305748e-01
7.350000,7.3544443719e-04,2.9826188208e-01
7.400000,7.4107443165e-04,3.0131783640e-01
7.450000,7.4557737547e-04,2.9769300288e-01
7.500000,7.5056510999e-04,3.0616205941e-01
