Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,-6.8735816560e-06
0.050000,5.1454788394e-06,7.5767358902e-02
0.100000,1.0015821029e-05,1.3711979163e-01
0.150000,1.4783793125e-05,1.9399984010e-01
0.200000,2.0073634803e-05,2.5466041247e-01
0.250000,2.5069266128e-05,2.9304661016e-01
0.300000,3.0792379340e-05,3.4927621087e-01
0.350000,3.3901311849e-05,4.0021956580e-01
0.400000,3.9840610825e-05,4.3753530157e-01
0.450000,4.4982119112e-05,4.9111099190e-01
0.500000,4.9741731247e-05,5.3020698843e-01
0.550000,5.5978219597e-05,5.6436960922e-01
0.600000,5.8539679340e-05,6.0235815967e-01
0.650000,6.5230030997e-05,6.5140130661e-01
0.700000,7.0805932085e-05,6.8643349878e-01
0.750000,7.4528090716e-05,7.1681895608e-01
0.800000,7.9630799958e-05,7.3512206556e-01
0.850000,8.3935504605e-05,7.7854988924e-01
0.900000,9.2189771328e-05,8.3592831709e-01
0.950000,9.5084022980e-05,8.4202346215e-01
1.000000,9.9894197732e-05,8.7129594036e-01
1.050000,1.0424617915e-04,9.1751029600e-01
1.100000,1.0845287380e-04,9.4351527748e-01
1.150000,1.1500211581e-04,9.8333504470e-01
1.200000,1.1963966653e-04,1.0246738748e+00
1.250000,1.2318212156e-04,1.0369212739e+00
1.300000,1.2852270285e-04,1.0456570284e+00
1.350000,1.3486413118e-04,1.1257385111e+00
1.400000,1.4002276973e-04,1.1400312519e+00
1.450000,1.4668774725e-04,1.1613945595e+00
1.500000,1.5028384001e-04,1.2083051092e+00
1.550000,1.5479147721e-04,1.2422267742e+00
1.600000,1.5940359234e-04,1.2240554494e+00
1.650000,1.6467206571e-04,1.2552646965e+00
1.700000,1.6942212197e-04,1.2685398273e+00
1.750000,1.7266364452e-04,1.2826762421e+00
1.800000,1.7960587664e-04,1.2970301621e+00
1.850000,1.8592227994e-04,1.3462486642e+00
1.900000,1.8927677084e-04,1.4192199561e+00
1.950000,1.9338922603e-04,1.4182276191e+00
2.000000,1.9906085507e-04,1.4247693332e+00
2.050000,2.0662869684e-04,1.4127835771e+00
2.100000,2.0979550698e-04,1.4421307892e+00
2.150000,2.1640774256e-04,1.4829610512e+00
2.200000,2.2000261244e-04,1.4902615224e+00
2.250000,2.2625851226e-04,1.4715424955e+00
2.300000,2.3140429244e-04,1.5202846449e+00
2.350000,2.3482416875e-04,1.5753714948e+00
2.400000,2.3844990164e-04,1.5869898641e+00
2.450000,2.4544089526e-04,1.5744920383e+00
2.500000,2.5037704163e-04,1.6617635614e+00
2.550000,2.5635079265e-04,1.6320344512e+00
2.600000,2.6212820712e-04,1.6432982684e+00
2.650000,2.6367173972e-04,1.6737638194e+00
2.700000,2.7040849766e-04,1.6978045368e+00
2.750000,2.7464248339e-04,1.7387062039e+00
2.800000,2.7834680807e-04,1.7242015801e+00
2.850000,2.8504520881e-04,1.7729619321e+00
2.900000,2.9051020108e-04,1.7727828361e+00
2.950000,2.9631977628e-04,1.8141413334e+00
3.000000,3.0060588187e-04,1.8217690419e+00
3.050000,3.0648681813e-04,1.8597259241e+00
3.100000,3.1068985457e-04,1.8300161666e+00
3.150000,3.1444609980e-04,1.8311859592e+00
3.200000,3.1946457124e-04,1.9072799885e+00
3.250000,3.2474453403e-04,1.8301450120e+00
3.300000,3.3078759000e-04,1.8345124710e+00
3.350000,3.3537535844e-04,1.9141529186e+00
3.400000,3.4089837284e-04,1.9628645299e+00
3.450000,3.4542327616e-04,1.9377116431e+00
3.500000,3.4965046333e-04,1.8843908177e+00
3.550000,3.5475896218e-04,1.9415196307e+00
3.600000,3.5830408988e-04,2.0176496039e+00
3.650000,3.6370364229e-04,2.0217490136e+00
3.700000,3.6856309761e-04,2.0738297707e+00
3.750000,3.7364340917e-04,1.9886227660e+00
3.800000,3.8045633808e-04,2.0511258750e+00
3.850000,3.8618046929e-04,2.0878655902e+00
3.900000,3.8923848790e-04,2.0656626673e+00
3.950000,3.9710231539e-04,2.1479024226e+00
4.000000,3.9864479508e-04,2.0902041677e+00
4.050000,4.0593126953e-04,2.1125625606e+00
4.100000,4.0969039286e-04,2.1318034073e+00
4.150000,4.1347213902e-04,2.1386678171e+00
4.200000,4.1974144771e-04,2.1745627972e+00
4.250000,4.2510637186e-04,2.1829839316e+00
4.300000,4.3042741702e-04,2.2103299116e+00
4.350000,4.3552667718e-04,2.2053098199e+00
4.400000,4.3858757514e-04,2.1706801987e+00
4.450000,4.4323791543e-04,2.1984129121e+00
4.500000,4.4928914935e-04,2.3238995334e+00
4.550000,4.5593655767e-04,2.3249560892e+00
4.600000,4.6044754292e-04,2.2543251384e+00
