Time [s],Displacement [m],Force [N]
0.000000,0.0000000000e+00,-2.4692210631e-05
0.050000,5.7551552056e-06,4.6074224963e-05
0.100000,1.0223674087e-05,1.9025370345e-04
0.150000,1.4100615845e-05,3.6527815520e-04
0.200000,1.9082048589e-05,6.6824820454e-04
0.250000,2.6176707026e-05,8.8662666033e-04
0.300000,3.0579044696e-05,1.2554712394e-03
0.350000,3.4162641696e-05,1.6875302341e-03
0.400000,3.9361171225e-05,2.0905574151e-03
0.450000,4.5751359974e-05,2.6882272574e-03
0.500000,5.0063794154e-05,2.9588328044e-03
0.550000,5.5398372071e-05,3.7904902950e-03
0.600000,5.8944625574e-05,4.2990864689e-03
0.650000,6.5232401391e-05,4.7320500267e-03
0.700000,7.0082007094e-05,5.7474640523e-03
0.750000,7.6324064590e-05,7.2380269433e-03
0.800000,8.0249505582e-05,7.2104413311e-03
0.850000,8.4604830742e-05,8.1428308313e-03
0.900000,8.9181279702e-05,7.8359661656e-03
0.950000,9.6436740822e-05,9.2177296738e-03
1.000000,9.9545762741e-05,9.3289236286e-03
1.050000,1.0536190775e-04,1.1214245957e-02
1.100000,1.0993634936e-04,1.1556063762e-02
1.150000,1.1438945455e-04,1.3500890293e-02
1.200000,1.1996320023e-04,1.4726487052e-02
1.250000,1.2598164338e-04,1.5128635320e-02
1.300000,1.3118382310e-04,1.7235787893e-02
1.350000,1.3606528497e-04,1.6855007972e-02
1.400000,1.4126053853e-04,2.0721766970e-02
1.450000,1.4482544791e-04,1.9439306620e-02
1.500000,1.4999007044e-04,2.2763271999e-02
1.550000,1.5467733997e-04,2.0605114613e-02
1.600000,1.5993028466e-04,2.2736328430e-02
1.650000,1.6567408102e-04,2.4963535709e-02
1.700000,1.7108234263e-04,2.5554923776e-02
1.750000,1.7427642453e-04,2.7820651594e-02
1.800000,1.8057342811e-04,2.7401320090e-02
1.850000,1.8545758965e-04,2.9860599012e-02
1.900000,1.9061364746e-04,3.0300874963e-02
1.950000,1.9561472512e-04,3.0677778420e-02
2.000000,2.0130315643e-04,3.5530457456e-02
2.050000,2.0479103680e-04,3.8949925416e-02
2.100000,2.0993615245e-04,3.5789013193e-02
2.150000,2.1483426975e-04,3.6288382140e-02
2.200000,2.2087586891e-04,4.1047755739e-02
2.250000,2.2629381298e-04,4.0108878913e-02
2.300000,2.2842400039e-04,4.0938741640e-02
2.350000,2.3440875289e-04,4.9647731046e-02
2.400000,2.4107295681e-04,4.6463802855e-02
2.450000,2.4457203305e-04,5.3195462318e-02
2.500000,2.5062714714e-04,5.0524222217e-02
2.550000,2.5454307489e-04,5.5150796053e-02
